Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Coats & Jackets,200000796,Women long trench coat Double breasted lapel Black red Khaki big size womens windbreakers,4001182382542,https://ae01.alicdn.com/kf/H23ca7bb4faa8420299f6a77f18ebc5een/Women-long-trench-coat-Double-breasted-lapel-Black-red-Khaki-big-size-womens-windbreakers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H23ca7bb4faa8420299f6a77f18ebc5een.jpg,https://ae04.alicdn.com/kf/H66a4672628af404bb76c99572838f09ey.jpg,https://ae04.alicdn.com/kf/H723f8a32623d4c8a91decfead169413dQ.jpg,https://ae04.alicdn.com/kf/H897c8aa37926448fbb09efb8e73cefe5i.png,https://ae04.alicdn.com/kf/Ha1916c141a93496c8c332b70a40a9211L.png,",https://www.aliexpress.com/item/4001182382542.html,97.42,56.50,30.00%,2098-12-31,42%,https://s.click.aliexpress.com/e/_ABOadW
Coats & Jackets,200000796,DiYiG WOMAN 2021 spring new women's lapel row buckle texture short short-sleeved suit jacket,1005002302107646,https://ae01.alicdn.com/kf/Hf4d9e4d7c1fe4c0b8837a972c63c0ad82/DiYiG-WOMAN-2021-spring-new-women-s-lapel-row-buckle-texture-short-short-sleeved-suit-jacket.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf4d9e4d7c1fe4c0b8837a972c63c0ad82.jpg,https://ae04.alicdn.com/kf/Hc1d0087ca61949f3b7e37720d7acd1e4e.jpg,https://ae04.alicdn.com/kf/Hac71f6c7dbe340ad8ad560a6a9e8296dm.jpg,https://ae04.alicdn.com/kf/H0e69c82a7519452a96999c3b33e51d7dh.jpg,https://ae04.alicdn.com/kf/H737a41484dbd413082c72e51744ec96aZ.jpg,",https://www.aliexpress.com/item/1005002302107646.html,55.98,28.55,9.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_ASSsq0
Coats & Jackets,200000796,Women's work windbreaker women's middle school long 2021 spring and autumn new fashion age reduction casual hooded parker coat,1005002428680357,https://ae01.alicdn.com/kf/He36c7bf8c5e2474fab2e9f4904f815a2e/Women-s-work-windbreaker-women-s-middle-school-long-2021-spring-and-autumn-new-fashion-age.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He36c7bf8c5e2474fab2e9f4904f815a2e.jpg,https://ae04.alicdn.com/kf/H2e74dc668aa3482b9110f20f9029535b6.jpg,https://ae04.alicdn.com/kf/H2e707318936647ee91c82c016eec95d1D.jpg,https://ae04.alicdn.com/kf/H93ba05c4d4d94bc99a2803db2064e57ce.jpg,",https://www.aliexpress.com/item/1005002428680357.html,95.30,47.65,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ALeG4y
Coats & Jackets,200000796,2021 spring new women's jacket jacquard short suit women's Korean suit slim temperament women's top one button,1005002426790058,https://ae01.alicdn.com/kf/H11ae2536bb76439fbd73d5f3f7727e89W/2021-spring-new-women-s-jacket-jacquard-short-suit-women-s-Korean-suit-slim-temperament-women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H11ae2536bb76439fbd73d5f3f7727e89W.jpg,https://ae04.alicdn.com/kf/H818ed0d9a4b14348980bf67bdcefd0a7Y.jpg,https://ae04.alicdn.com/kf/Hea44ab2d30f641bbba0547c57d833b5du.jpg,https://ae04.alicdn.com/kf/Hbdd28c5c39d84f6199bbe4e416ba67e4R.jpg,https://ae04.alicdn.com/kf/H52aa13e6fcc849e89ca6d4bd6a818896J.jpg,",https://www.aliexpress.com/item/1005002426790058.html,43.00,29.24,10.00%,2098-12-31,32%,https://s.click.aliexpress.com/e/_AftWaY
Coats & Jackets,200000796,High quality high street vintage fashion red denim jackets streetwear pocket casual  oversize jean coat ladies short style tops,1005002393447582,https://ae01.alicdn.com/kf/H36640c66d3084414a250e201e2bfc1fcH/High-quality-high-street-vintage-fashion-red-denim-jackets-streetwear-pocket-casual-oversize-jean-coat-ladies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H36640c66d3084414a250e201e2bfc1fcH.jpg,https://ae04.alicdn.com/kf/He638ae76f4954665906d3cfa5d8a36a6M.jpg,https://ae04.alicdn.com/kf/H556b00ee7a274d25b6c2e40953285457E.jpg,https://ae04.alicdn.com/kf/H8ee50cc8d6194a6cbf2d1b0047b285f1Z.jpg,https://ae04.alicdn.com/kf/H4e79888fa2db40688f8ca343b4588fb3Y.jpg,",https://www.aliexpress.com/item/1005002393447582.html,51.90,29.06,9.00%,2098-12-31,44%,https://s.click.aliexpress.com/e/_AlTZk0
Coats & Jackets,200000796,2021 new spring and autumn ladies work uniform military green hooded windbreaker female collar couple coat casual Joker,1005002428710103,https://ae01.alicdn.com/kf/H5d47ad385b4b4826b9a997fd114625b81/2021-new-spring-and-autumn-ladies-work-uniform-military-green-hooded-windbreaker-female-collar-couple-coat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5d47ad385b4b4826b9a997fd114625b81.jpg,https://ae04.alicdn.com/kf/H2de23e2f9b3344db90e8f2e0a51d6cbe9.jpg,https://ae04.alicdn.com/kf/H4eac1e388e5448e49d3d299d9cb6e9c9z.jpg,https://ae04.alicdn.com/kf/Hf6aa12bda5ed47bcb3c4a95d5e77de22P.jpg,",https://www.aliexpress.com/item/1005002428710103.html,98.80,49.40,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AYXRNK
Coats & Jackets,200000796,Loose short crop denim jacket women tassel street light blue mujer chaqueta fall jacket for women chamarras de mujer #010,1005001497922093,https://ae01.alicdn.com/kf/H516738efe7eb417ea247ced02c0d8974l/Loose-short-crop-denim-jacket-women-tassel-street-light-blue-mujer-chaqueta-fall-jacket-for-women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H516738efe7eb417ea247ced02c0d8974l.jpg,https://ae04.alicdn.com/kf/He4e16adc6e804587919e22048e1d7bc5n.jpg,https://ae04.alicdn.com/kf/H3e62ff88389a4436922fc8a02a6c73c1N.jpg,https://ae04.alicdn.com/kf/H1a9ff92e86fd4365a96356bf5c878da3s.jpg,https://ae04.alicdn.com/kf/Ha01ec353565a47c28a9f3745485fe1a4B.jpg,",https://www.aliexpress.com/item/1005001497922093.html,42.20,30.38,15.00%,2098-12-31,28%,https://s.click.aliexpress.com/e/_9Q8L0s
Coats & Jackets,200000796,Fashion Blcak Hole Women Long Denim Coat Casual Oversized Cardigan Pocket Frayed Jackets Women Vintage Jean Jackets #33,1005001548956373,https://ae01.alicdn.com/kf/Hb7686815fc2647a1b5484be6484475a3d/Fashion-Blcak-Hole-Women-Long-Denim-Coat-Casual-Oversized-Cardigan-Pocket-Frayed-Jackets-Women-Vintage-Jean.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb7686815fc2647a1b5484be6484475a3d.jpg,https://ae04.alicdn.com/kf/He71fa5c00e91414e8c22c119ac091854v.jpg,https://ae04.alicdn.com/kf/H37ae3b9d48fc4b0187b49c72fc9e48ee4.jpg,https://ae04.alicdn.com/kf/H6558192f4dc044a285cc25115a2d59fcp.jpg,https://ae04.alicdn.com/kf/H9ca66a30b8f04c6aae10bebcf5f4199aF.jpg,",https://www.aliexpress.com/item/1005001548956373.html,48.90,35.70,15.00%,2098-12-31,27%,https://s.click.aliexpress.com/e/_ALghh2
Coats & Jackets,200000796,2021 Spring Autumn New Women Pocket Blusas Buttons Long Sleeve Denim Jackets Loose Short jean Tops Lady Outerwears lapel Coat,1005002388321014,https://ae01.alicdn.com/kf/Hda9c3f4a22f143ddb4b2a00cfbe5ac70o/2021-Spring-Autumn-New-Women-Pocket-Blusas-Buttons-Long-Sleeve-Denim-Jackets-Loose-Short-jean-Tops.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hda9c3f4a22f143ddb4b2a00cfbe5ac70o.jpg,https://ae04.alicdn.com/kf/Hb5c49f6419cf480db105a110fd3a5614g.jpg,https://ae04.alicdn.com/kf/H3175b547b2ad4faca0b80ac3b9f42a178.jpg,https://ae04.alicdn.com/kf/H3e5985e36a03436087bebd32f0e32cbdE.jpg,https://ae04.alicdn.com/kf/H915f73de9f6c4d0c827ec0870685617cS.jpg,",https://www.aliexpress.com/item/1005002388321014.html,57.50,32.20,9.00%,2098-12-31,44%,https://s.click.aliexpress.com/e/_A4Rlmc
Coats & Jackets,200000796,Women Female Lady Coat Trench Loose Oversize Bat-Wing Raglan Sleeve Gathering Cuff Side Buckle Strap Asymmetric Hem Feminine,1005001573809517,https://ae01.alicdn.com/kf/H01f4cddc69244015b94f07444377294aD/Women-Female-Lady-Coat-Trench-Loose-Oversize-Bat-Wing-Raglan-Sleeve-Gathering-Cuff-Side-Buckle-Strap.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H01f4cddc69244015b94f07444377294aD.jpg,https://ae04.alicdn.com/kf/H22888dd84c1d479da290576d7eba2016M.jpg,https://ae04.alicdn.com/kf/Hde7b18292bb6429daf6708d50f4cf4e6G.jpg,https://ae04.alicdn.com/kf/H3ce5d9ce01ca46db80a20b799015aed4A.jpg,https://ae04.alicdn.com/kf/H61dc69816a4f43788d16ce8f76900e1dR.jpg,",https://www.aliexpress.com/item/1005001573809517.html,58.80,35.28,9.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AgdTOy
Coats & Jackets,200000796,Fashion Blue Inelastic Women Denim Coat Jeans Coats Casual Hollow out pocket tassel Jackets Women Vintage Jeans Jacket  #09,1005001282577310,https://ae01.alicdn.com/kf/H0d5d190fd4eb4dd5a05a72e96fe0245dr/Fashion-Blue-Inelastic-Women-Denim-Coat-Jeans-Coats-Casual-Hollow-out-pocket-tassel-Jackets-Women-Vintage.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0d5d190fd4eb4dd5a05a72e96fe0245dr.jpg,https://ae04.alicdn.com/kf/H3fb35eca02cd489b8f61b89219668276O.jpg,https://ae04.alicdn.com/kf/Hb40d2f97d11e48699d789d920ba0c97dK.jpg,https://ae04.alicdn.com/kf/H77c746f890d547db9cd342c22511fefeu.jpg,https://ae04.alicdn.com/kf/H11c43483698d45a483d30f8311ce9e3fR.jpg,",https://www.aliexpress.com/item/1005001282577310.html,46.26,33.77,15.00%,2098-12-31,27%,https://s.click.aliexpress.com/e/_A1IKuk
