Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Fashion Jewelry,1509,6mm 8mm 10mm Natural Volcanic Stone Beads Bracelets Black Lava Men Bracelet Aromatherapy Essential Oil Diffuser Bangle for Women,1005002539588694,https://ae01.alicdn.com/kf/Hcc2c5d3d058f49cf86f742ff7e32c2b9T/6mm-8mm-10mm-Natural-Volcanic-Stone-Beads-Bracelets-Black-Lava-Men-Bracelet-Aromatherapy-Essential-Oil-Diffuser.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcc2c5d3d058f49cf86f742ff7e32c2b9T.jpg,https://ae04.alicdn.com/kf/H912bd81a40ed4d67a778ea8ee557e168w.jpg,https://ae04.alicdn.com/kf/H3ea423bece0f49379806734b17625f88E.jpg,https://ae04.alicdn.com/kf/Hc9f52e985c204429a5415865ab69317fl.jpg,https://ae04.alicdn.com/kf/H08c9a29fa0294ad0b66af0c153d26b48T.jpg,",https://www.aliexpress.com/item/1005002539588694.html,2.72,2.72,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AWrmg9
Fashion Jewelry,1509,Movement Little Bear Keychain Cartoon Fashion Resin Toy Bag Backpack Car Key Accessories Pendant Couple's Keyring Bracelet Gift,1005002536994750,https://ae01.alicdn.com/kf/Hb67bb54cde6f4fba926f0f77b58e0a53r/Movement-Little-Bear-Keychain-Cartoon-Fashion-Resin-Toy-Bag-Backpack-Car-Key-Accessories-Pendant-Couple-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb67bb54cde6f4fba926f0f77b58e0a53r.jpg,https://ae04.alicdn.com/kf/H045a2e21e46e4dffb0652ccf4be06438N.jpg,https://ae04.alicdn.com/kf/Hd1c1cd86681f4ff6b59019d00fddf57e2.jpg,https://ae04.alicdn.com/kf/H0278eb4c70794205b85bfd05885879b49.jpg,https://ae04.alicdn.com/kf/H4cc290cc4cd347b08f3ac89b583002889.jpg,",https://www.aliexpress.com/item/1005002536994750.html,4.40,4.40,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9yLYj7
Fashion Jewelry,1509,Cool Cat Smiling Face Keychain Personality Cartoon Bag Backpack Car Key Couple's Accessories Pendant Trend Charm Keyring Gift,1005002537392628,https://ae01.alicdn.com/kf/Hdcd6e28000ec41329144cde36f4c6eb67/Cool-Cat-Smiling-Face-Keychain-Personality-Cartoon-Bag-Backpack-Car-Key-Couple-s-Accessories-Pendant-Trend.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdcd6e28000ec41329144cde36f4c6eb67.jpg,https://ae04.alicdn.com/kf/Hcbd174bb448f4ea68b8f03d41720f4dbs.jpg,https://ae04.alicdn.com/kf/Ha9d517b4dd4b47a3bcfc3d838908aac9n.jpg,https://ae04.alicdn.com/kf/H695d10dac9e1444da64f2786df602608K.jpg,https://ae04.alicdn.com/kf/H39e49edf284847fbacf2de0419655c8fl.jpg,",https://www.aliexpress.com/item/1005002537392628.html,3.80,3.80,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9GQeiD
Fashion Jewelry,1509,2020 New Male Crystal Cross Jesus Pendant Gold Black Zirconia Cross Pendant Necklace Stainless Steel Jewelry For Men Gift,1005002539604117,https://ae01.alicdn.com/kf/H1bbd435b5f614f1f909597b6b3f7aee4E/2020-New-Male-Crystal-Cross-Jesus-Pendant-Gold-Black-Zirconia-Cross-Pendant-Necklace-Stainless-Steel-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1bbd435b5f614f1f909597b6b3f7aee4E.jpg,https://ae04.alicdn.com/kf/H6f2bdb6c530d4e5a92452137a3d44733y.jpg,https://ae04.alicdn.com/kf/H89a2065cc7b5404b8b87026427b42c13R.jpg,https://ae04.alicdn.com/kf/Hfee1cd050f844e5c95055ef0446dd82aT.jpg,https://ae04.alicdn.com/kf/Hffbb2159e8434e8bbca4015a21acc1a9h.jpg,",https://www.aliexpress.com/item/1005002539604117.html,8.99,8.99,30.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AF2IPj
Fashion Jewelry,1509,Trend Rainbow Keychain Metal Maple Leaf Star Fashion Personality Women Bag Backpack Car Key Accessories Pendant Charm Keyring,1005002536905342,https://ae01.alicdn.com/kf/Hcb62abeea36148dd8c1dddecc1c484ac9/Trend-Rainbow-Keychain-Metal-Maple-Leaf-Star-Fashion-Personality-Women-Bag-Backpack-Car-Key-Accessories-Pendant.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcb62abeea36148dd8c1dddecc1c484ac9.jpg,https://ae04.alicdn.com/kf/H50e62ffe28e54c56bfe6e0889e937370Y.jpg,https://ae04.alicdn.com/kf/H570e5c7be993480faa2957b5791e1abbc.jpg,https://ae04.alicdn.com/kf/H054b24326d494fac82d91ef71bf02ab9E.jpg,https://ae04.alicdn.com/kf/H25b2176761ea4109a2fa3eeadf6faa94o.jpg,",https://www.aliexpress.com/item/1005002536905342.html,2.00,2.00,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9jYFJP
Fashion Jewelry,1509,Metal Spike Choker PU Leather Collar Necklace Punk Necklace Statement Jewelry for women  Neck Accessories X627,1005002539555472,https://ae01.alicdn.com/kf/H235ddb13fd8d4253ad8481acdafc747fy/Metal-Spike-Choker-PU-Leather-Collar-Necklace-Punk-Necklace-Statement-Jewelry-for-women-Neck-Accessories-X627.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H235ddb13fd8d4253ad8481acdafc747fy.jpg,https://ae04.alicdn.com/kf/H434db47190994968ab51f9bff75fc3eaX.jpg,https://ae04.alicdn.com/kf/H10b0de7b5890424dafe4b26c75f396148.jpg,https://ae04.alicdn.com/kf/H3f08adfa0f5548a0ac52a7ee711a0a14b.jpg,https://ae04.alicdn.com/kf/H0d0b48d1598346a8a7f1dea952e5ce54I.jpg,",https://www.aliexpress.com/item/1005002539555472.html,9.45,9.45,30.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ADwxVF
Fashion Jewelry,1509,Personality Small Dinosaur Keychain Cartoon Creativity Lovely Rectangle Doll Bag Car Key Accessories Pendant Couple's Keyring,1005002537015417,https://ae01.alicdn.com/kf/H32576e8365be4c6d8e2770a8f3617aefV/Personality-Small-Dinosaur-Keychain-Cartoon-Creativity-Lovely-Rectangle-Doll-Bag-Car-Key-Accessories-Pendant-Couple-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H32576e8365be4c6d8e2770a8f3617aefV.jpg,https://ae04.alicdn.com/kf/H3937274e63bc40ef826fe26730a2ddeck.jpg,https://ae04.alicdn.com/kf/H192683850ee7484eb078942ddc0df479k.jpg,https://ae04.alicdn.com/kf/H4633c2cccd4d4e01be6b41621505cf167.jpg,https://ae04.alicdn.com/kf/H88051d6cb3c3465bbd823bb381b1f372k.jpg,",https://www.aliexpress.com/item/1005002537015417.html,3.80,3.80,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AUR3Id
Fashion Jewelry,1509,Fashion popular couple bracelet bracelet her queen text love memorial day holiday gift chain jewelry friends jewelry,1005002539556817,https://ae01.alicdn.com/kf/H8a59f66d4acf41d8bcbe791217f0cb536/Fashion-popular-couple-bracelet-bracelet-her-queen-text-love-memorial-day-holiday-gift-chain-jewelry-friends.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8a59f66d4acf41d8bcbe791217f0cb536.jpg,https://ae04.alicdn.com/kf/H2d058b891c8e44f686aa0d35abf711c4f.jpg,https://ae04.alicdn.com/kf/Hab92a22728894f8c98f07a4dd22523374.jpg,https://ae04.alicdn.com/kf/Hb516d6269a554947a368482e1a28aa58H.jpg,https://ae04.alicdn.com/kf/H449c0e3e98ad4c07a651fe390a0bc50e7.jpg,",https://www.aliexpress.com/item/1005002539556817.html,3.58,3.58,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AsEeFx
Fashion Jewelry,1509,Jewelry 2020 Jewelry Fashion Full zircon lightning Necklace Chains For Boys Hip Hop Party Biker Men's Pendant Necklace Jewelry,1005002539562266,https://ae01.alicdn.com/kf/H32c306ee73904bc49415c877bc9678bf2/Jewelry-2020-Jewelry-Fashion-Full-zircon-lightning-Necklace-Chains-For-Boys-Hip-Hop-Party-Biker-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H32c306ee73904bc49415c877bc9678bf2.jpg,https://ae04.alicdn.com/kf/Ha842760c87b04c07a0f387a4eb99a301A.jpg,https://ae04.alicdn.com/kf/H2d81d0f0a8234a66bac29fc4e0495a8eZ.jpg,https://ae04.alicdn.com/kf/Ha7b27a42e9e94df39f9624f147c6a3fdH.jpg,https://ae04.alicdn.com/kf/H17940dd360a84c7dbc07666c32c06002q.jpg,",https://www.aliexpress.com/item/1005002539562266.html,7.89,7.89,30.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9G4D5j
Fashion Jewelry,1509,2021 Pocket Monsters Funny Monster Open Rings Dripping Oil Purple Cute Women's Ring Design Smile Fashion Ring Wholesale Jewelry,1005002499620219,https://ae01.alicdn.com/kf/Hc97a16cf801f4a5da96a819e6e194b76v/2021-Pocket-Monsters-Funny-Monster-Open-Rings-Dripping-Oil-Purple-Cute-Women-s-Ring-Design-Smile.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc97a16cf801f4a5da96a819e6e194b76v.jpg,https://ae04.alicdn.com/kf/H438dd469c09f4952bd72a07b21a77ad4w.jpg,https://ae04.alicdn.com/kf/H39b7946d2ee94cb085108074949444360.jpg,https://ae04.alicdn.com/kf/H070d2687d88d43f48c2360f0aba4cd12I.jpg,https://ae04.alicdn.com/kf/Hfaeacc23b15745ef959dd20c02123e70t.jpg,",https://www.aliexpress.com/item/1005002499620219.html,2.84,2.84,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9xd9vb
