Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Hoodies & Sweatshirts,200000344,"2021 new autumn and winter Harajuku men's hoodie, large size warm hoodie, 3D printed pattern hoodie, Japanese animation",1005002481909543,https://ae01.alicdn.com/kf/H2d081d086a0f4d47a835ac35faad1c7bx/2021-new-autumn-and-winter-Harajuku-men-s-hoodie-large-size-warm-hoodie-3D-printed-pattern.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2d081d086a0f4d47a835ac35faad1c7bx.jpg,https://ae04.alicdn.com/kf/H570becea605d4df3acdba9940862559dM.jpg,https://ae04.alicdn.com/kf/H9420489905d04697978ef2bfa04581b6C.jpg,https://ae04.alicdn.com/kf/H23ebd965d1c64a918f5c0dab0b0ceaa1O.jpg,https://ae04.alicdn.com/kf/H46c055323cdd4972b672136fee277a060.jpg,",https://www.aliexpress.com/item/1005002481909543.html,14.99,14.99,15.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ALHPXF
Hoodies & Sweatshirts,200000344,Japanese Animation Mantra Fight Back Cartoon Pullover Cosplay 3D Digital Printing Men's Hooded Sportswear Football Shirt,1005002435442210,https://ae01.alicdn.com/kf/H7a0c1e28e5f84ec38151684c188d0276T/Japanese-Animation-Mantra-Fight-Back-Cartoon-Pullover-Cosplay-3D-Digital-Printing-Men-s-Hooded-Sportswear-Football.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7a0c1e28e5f84ec38151684c188d0276T.jpg,https://ae04.alicdn.com/kf/H85005a62e7cc4420ae1a4a58b8c2f18fS.jpg,https://ae04.alicdn.com/kf/Hac7c6090fd3648dfbe9ca571668bfc7fN.jpg,https://ae04.alicdn.com/kf/Hc6a44a680c5a48c4a7f04ae3d18b40e86.jpg,https://ae04.alicdn.com/kf/Hc80a158124ef41d9a1e354a14fb9aa5dt.jpg,",https://www.aliexpress.com/item/1005002435442210.html,33.80,33.80,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_97m1nx
Hoodies & Sweatshirts,200000344,Anime Fire Brigade of Flames Hoody Sweatshirt Mens Hoodies Shinra Kusakabe Younger Brother Eyes Print Clothes Fire Force Hoodie,1005002534701087,https://ae01.alicdn.com/kf/H5fe7a1431066459d8c6ead1168db77d5n/Anime-Fire-Brigade-of-Flames-Hoody-Sweatshirt-Mens-Hoodies-Shinra-Kusakabe-Younger-Brother-Eyes-Print-Clothes.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5fe7a1431066459d8c6ead1168db77d5n.jpg,https://ae04.alicdn.com/kf/Hbaa72a2101bf4e64b01da1e5cf0718f2i.jpg,https://ae04.alicdn.com/kf/Hd8b4252b67424e43abadf04637074eb1i.jpg,https://ae04.alicdn.com/kf/H3a87f18b16b74b5c880c8f481c309532S.jpg,https://ae04.alicdn.com/kf/Heb646c78fa1c4506914472775f70b8669.jpg,",https://www.aliexpress.com/item/1005002534701087.html,15.00,15.00,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AlYrat
Hoodies & Sweatshirts,200000344,2021 New Fashion Cartoons Bunny Girl Print Hoodie Men Women Unisex Oversized Hip Hop Hoodies Pure Cotton Casual Hoody Sweatshirt,1005002534543258,https://ae01.alicdn.com/kf/Ha5bd8e54125f4ef2908d1b9f201b9e81j/2021-New-Fashion-Cartoons-Bunny-Girl-Print-Hoodie-Men-Women-Unisex-Oversized-Hip-Hop-Hoodies-Pure.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha5bd8e54125f4ef2908d1b9f201b9e81j.jpg,https://ae04.alicdn.com/kf/H17bf50b9ebdd41a78af98d959bd0b6b2r.jpg,https://ae04.alicdn.com/kf/H2bf2c92ed5b646aea4b10353f868f001T.jpg,https://ae04.alicdn.com/kf/H8a91f13e413645c681ed5fc63939a087E.jpg,https://ae04.alicdn.com/kf/H2da5deb2784a419599d5364b786809fcU.jpg,",https://www.aliexpress.com/item/1005002534543258.html,15.00,15.00,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AY8933
Hoodies & Sweatshirts,200000344,2021 New National Treasure Bear Men and Women 3D Printing Hoodie Harajuku Fashion Spring and Autumn Casual Street Sports Hoodie,1005002534660510,https://ae01.alicdn.com/kf/Hf79d0539c03d4be2b29f495f9c74e50dw/2021-New-National-Treasure-Bear-Men-and-Women-3D-Printing-Hoodie-Harajuku-Fashion-Spring-and-Autumn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf79d0539c03d4be2b29f495f9c74e50dw.jpg,https://ae04.alicdn.com/kf/H809a2081cf1d4279b72bbb32c7a367be4.jpg,https://ae04.alicdn.com/kf/H99f595e426594a01b3340d070a6f434dF.jpg,https://ae04.alicdn.com/kf/H46a278638fb44a489b5451f29d2c3e0cL.jpg,https://ae04.alicdn.com/kf/H9aeb6d5f12b749da9c3aa33a3883a8faA.jpg,",https://www.aliexpress.com/item/1005002534660510.html,20.85,20.85,45.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9QhDqp
Hoodies & Sweatshirts,200000344,New Fashion Streetwear Oversized Mens Japanese Anime 90S 80S Hoodie Neon Hip Hop Graphic Aesthetic Hoodies Cartoon Male Clothing,1005002534506911,https://ae01.alicdn.com/kf/Hf93a6007ebd341829f96a22f33e711b0m/New-Fashion-Streetwear-Oversized-Mens-Japanese-Anime-90S-80S-Hoodie-Neon-Hip-Hop-Graphic-Aesthetic-Hoodies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf93a6007ebd341829f96a22f33e711b0m.jpg,https://ae04.alicdn.com/kf/H68752fffb4e84c4a98165a3fa0f9b6f2H.jpg,https://ae04.alicdn.com/kf/H81f8bd0a53614736afecec9292600953V.jpg,https://ae04.alicdn.com/kf/H8bc8aeba0c9b4711b695bd578c31f3d5K.jpg,https://ae04.alicdn.com/kf/Hadb850505af640ec8ec9297f0fec9249f.jpg,",https://www.aliexpress.com/item/1005002534506911.html,15.00,15.00,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A4txVX
Hoodies & Sweatshirts,200000344,"Men's autumn and winter 2021 casual fashion 3D hoodies, animal world 3D digital printing men's and women's casual hoodies",1005002522642002,https://ae01.alicdn.com/kf/H77d444fd96e8469a85af6a570b67dc4es/Men-s-autumn-and-winter-2021-casual-fashion-3D-hoodies-animal-world-3D-digital-printing-men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H77d444fd96e8469a85af6a570b67dc4es.jpg,https://ae04.alicdn.com/kf/H9710b2261f4a4aaa8ff1cfab0ee5786e9.jpg,https://ae04.alicdn.com/kf/Hf85e823bf05a4fdc94361f6577e5ee29n.jpg,https://ae04.alicdn.com/kf/H43d4759e29714151bb106e62e11c5d955.jpg,https://ae04.alicdn.com/kf/H77ebea2fe2334cbc93d40f4bc76b3cd0G.jpg,",https://www.aliexpress.com/item/1005002522642002.html,14.99,14.99,13.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AfO3I1
Hoodies & Sweatshirts,200000344,2021 Spring and Autumn Men's Large Running Sweatshirt Men's Hoodie Men's Sportswear Solid Color Pullover Casual Hoodie,1005002467477084,https://ae01.alicdn.com/kf/H4dfdcc67687449108a39a9f9606eacf7q/2021-Spring-and-Autumn-Men-s-Large-Running-Sweatshirt-Men-s-Hoodie-Men-s-Sportswear-Solid.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4dfdcc67687449108a39a9f9606eacf7q.jpg,https://ae04.alicdn.com/kf/H665429455e6b4eb78062cdbba64ad6afU.jpg,https://ae04.alicdn.com/kf/H6d35df11dfbe437395c07eb3c4edd0a1l.jpg,https://ae04.alicdn.com/kf/H4e75bf0bb1974a869ec30388107de8b1A.jpg,https://ae04.alicdn.com/kf/H902d38688ac5402280ac64a9355e1de27.jpg,",https://www.aliexpress.com/item/1005002467477084.html,21.80,21.80,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ABS9vP
Hoodies & Sweatshirts,200000344,"2021 autumn and winter new men's hoodie, oversized size XXS-4XL, loose and warm clothes, 3D printed dark clown theme",1005002493965031,https://ae01.alicdn.com/kf/Hb54a33eaf942429fb448306f06528098i/2021-autumn-and-winter-new-men-s-hoodie-oversized-size-XXS-4XL-loose-and-warm-clothes.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb54a33eaf942429fb448306f06528098i.jpg,https://ae04.alicdn.com/kf/Hf6cf77fa6d174d17b52ef8dbf51b528aC.jpg,https://ae04.alicdn.com/kf/H5ddaddcacb714afe91c4347e6de18e285.jpg,https://ae04.alicdn.com/kf/H00f66fc4d2464413bc03258381a7c3f0q.jpg,https://ae04.alicdn.com/kf/H4f31ae4031334b8db308d0b19c6bc8ear.jpg,",https://www.aliexpress.com/item/1005002493965031.html,14.99,14.99,15.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AZs6fX
Hoodies & Sweatshirts,200000344,Zero Two Darling In The Franxx Anime Hoodies Harajuku Casual Streetwear Graphic Women's Men Sweatshirts Unisex Hoodie Man jacket,1005002525639886,https://ae01.alicdn.com/kf/H3b1eb2b440da43b69f4686c9c9178436L/Zero-Two-Darling-In-The-Franxx-Anime-Hoodies-Harajuku-Casual-Streetwear-Graphic-Women-s-Men-Sweatshirts.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3b1eb2b440da43b69f4686c9c9178436L.jpg,https://ae04.alicdn.com/kf/H8de6a0e3ec0e4758a2d92446419143d7W.jpg,https://ae04.alicdn.com/kf/Hb93bd544a7b949459dc53916d0b0db0ae.jpg,https://ae04.alicdn.com/kf/Haba8a8172a2e493f908614aa740d1fa63.jpg,https://ae04.alicdn.com/kf/Hb155be6b5e6043ac8a12ddd648380a05P.jpg,",https://www.aliexpress.com/item/1005002525639886.html,15.00,15.00,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9uf8st
