Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Leggings,200000865,NDUCJSI High Waist Leggings Push Up Leggins Tie-Dye Print Women Fitness Running Gym Pants Sport Girl Tight-Fitting Elasticity,1005002441501793,https://ae01.alicdn.com/kf/H3a2927f650a84e998f7e0f946c3e6062k/NDUCJSI-High-Waist-Leggings-Push-Up-Leggins-Tie-Dye-Print-Women-Fitness-Running-Gym-Pants-Sport.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3a2927f650a84e998f7e0f946c3e6062k.jpg,https://ae04.alicdn.com/kf/H53978af0bbfa4dec834752652e55bd589.jpg,https://ae04.alicdn.com/kf/Hf78cf948ae124cbfb540858583521681G.jpg,https://ae04.alicdn.com/kf/H6f94a13f2138411182889d767fa9a62bb.jpg,https://ae04.alicdn.com/kf/H693ef867fc1f45189a59ea50e0865ff30.jpg,",https://www.aliexpress.com/item/1005002441501793.html,3.95,3.75,9.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_9uacCL
Leggings,200000865,Faux Leather S-3XL New Autumn 2020 Fashion Matte Leather Pants Stretchy Plus Size Casual Sexy Elastic Thin Black Women Leggings,1005001968904316,https://ae01.alicdn.com/kf/Hc9cb4b0ab79747f28fd457871f40d9f6n/Faux-Leather-S-3XL-New-Autumn-2020-Fashion-Matte-Leather-Pants-Stretchy-Plus-Size-Casual-Sexy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc9cb4b0ab79747f28fd457871f40d9f6n.jpg,https://ae04.alicdn.com/kf/H42b8394fa95a4a76b67fd5afd66a88f1I.jpg,https://ae04.alicdn.com/kf/Hc4abec6f9c884a08981509f544f31da9w.jpg,https://ae04.alicdn.com/kf/H493fd4052bef4dc18eacc79a2fc43427K.jpg,https://ae04.alicdn.com/kf/H74ce66965845472bb6311749d40a93a9p.jpg,",https://www.aliexpress.com/item/1005001968904316.html,11.99,7.07,20.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_ALkb0n
Leggings,200000865,Women Shiny Black Winter Warm Legging M-3XL Plus Size Lady Push Up Slim Leggings 2020 High Waist Plus Velvet Soft Women Legging,1005001963622235,https://ae01.alicdn.com/kf/H88210cd28f4f4140b11ff23667fa6a55n/Women-Shiny-Black-Winter-Warm-Legging-M-3XL-Plus-Size-Lady-Push-Up-Slim-Leggings-2020.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H88210cd28f4f4140b11ff23667fa6a55n.jpg,https://ae04.alicdn.com/kf/H00aa9d8631954e838b4ea2e574fbaaf7U.jpg,https://ae04.alicdn.com/kf/H4e0849f80a354ea1a52d24328081556bR.jpg,https://ae04.alicdn.com/kf/Heef0140757a5489a97e51b00008e8651E.jpg,https://ae04.alicdn.com/kf/H684bf12a51374eeca21c8ec6fe733d44P.jpg,",https://www.aliexpress.com/item/1005001963622235.html,16.99,10.02,20.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_A4KMwR
Leggings,200000865,Women Leggings Fashion Plaid Printing Legging Sexy Leggings Fitness Leggins Grid Floral Stripe Trouser High Waist Pants,1005002321348527,https://ae01.alicdn.com/kf/Ha66c3377d2f44807b1faca4e4d7b39aaB/Women-Leggings-Fashion-Plaid-Printing-Legging-Sexy-Leggings-Fitness-Leggins-Grid-Floral-Stripe-Trouser-High-Waist.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha66c3377d2f44807b1faca4e4d7b39aaB.jpg,https://ae04.alicdn.com/kf/H446d627adb054a7ab092f86c2b88548bx.jpg,https://ae04.alicdn.com/kf/Hc62cb1edef82470e82bcf52eeb8dcfcao.jpg,https://ae04.alicdn.com/kf/Hac6c42a8d2374f7cba2f430bd2c9fdd4G.jpg,https://ae04.alicdn.com/kf/H57093acc0d50409382857416eeaa4d6eq.jpg,",https://www.aliexpress.com/item/1005002321348527.html,9.00,4.59,40.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_9QhY7Z
Leggings,200000865,Women High Waist Shiny Black Legging 2020 Fashion Autumn Ladies Push Up Slim Leggings Stretchy Soft Large Size Women Leggings,1005001963639002,https://ae01.alicdn.com/kf/Hd7e37acbba00434590ab43293d456d0c0/Women-High-Waist-Shiny-Black-Legging-2020-Fashion-Autumn-Ladies-Push-Up-Slim-Leggings-Stretchy-Soft.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd7e37acbba00434590ab43293d456d0c0.jpg,https://ae04.alicdn.com/kf/H213f45eb7b57436b900550241b4952f8H.jpg,https://ae04.alicdn.com/kf/H68f344c5e35e42c29797d718225ba2bd6.jpg,https://ae04.alicdn.com/kf/H61030568e7b948cfaf0d74b7d7932e77P.jpg,https://ae04.alicdn.com/kf/H4d422217b10449f18803a4fbe9b4d305B.jpg,",https://www.aliexpress.com/item/1005001963639002.html,10.99,6.48,20.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_AfOjlv
Leggings,200000865,2021 Autumn And Winter New High Waist Pu Leather Pants Bright Leather Leggings High Elasticity And Thin Women'S Feet Pants,1005002435482328,https://ae01.alicdn.com/kf/H3fa8d57b1c3442bfb8d6363781bb7eadK/2021-Autumn-And-Winter-New-High-Waist-Pu-Leather-Pants-Bright-Leather-Leggings-High-Elasticity-And.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3fa8d57b1c3442bfb8d6363781bb7eadK.jpg,https://ae04.alicdn.com/kf/Ha7037bf08ee342d29d89200aa9ba8763a.jpg,https://ae04.alicdn.com/kf/Hc93c2391a89246ba8ae5960d91284186b.jpg,https://ae04.alicdn.com/kf/H2ba4fbb0d35047bab0acdfb2b76c45f6s.jpg,https://ae04.alicdn.com/kf/H55b8a6c693ce4f24a8c71cb313cc9eb6M.jpg,",https://www.aliexpress.com/item/1005002435482328.html,16.57,11.43,10.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_AK0ebv
Leggings,200000865,CHRLEISURE Women Fitness Bubble Butt Legging Push Up Women High Waist Workout Leggings Women Patchwork Leggings,1005002329873360,https://ae01.alicdn.com/kf/Hfbb41baf1ffe478cbfd67a4282228ba7H/CHRLEISURE-Women-Fitness-Bubble-Butt-Legging-Push-Up-Women-High-Waist-Workout-Leggings-Women-Patchwork-Leggings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfbb41baf1ffe478cbfd67a4282228ba7H.jpg,https://ae04.alicdn.com/kf/Hfb0d0404649444d3b9c1beeaa374c3502.jpg,https://ae04.alicdn.com/kf/H6dbf310a945a4e84bf7ff783134a2757m.jpg,https://ae04.alicdn.com/kf/H72ee84e6ab0e4b41b74ed33b218853d2E.jpg,https://ae04.alicdn.com/kf/H078483eda6204a5d99850a5562a03590c.jpg,",https://www.aliexpress.com/item/1005002329873360.html,9.90,4.95,30.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9zL9gR
Leggings,200000865,Anti-Cellulite Pants Women's White Sport leggings 2021 Push Up Tights Gym Exercise High Waist Fitness Running Athletic Trousers,1005002427835410,https://ae01.alicdn.com/kf/He75b50d52f7041d3ba8d81b00a85f32fS/Anti-Cellulite-Pants-Women-s-White-Sport-leggings-2021-Push-Up-Tights-Gym-Exercise-High-Waist.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He75b50d52f7041d3ba8d81b00a85f32fS.jpg,https://ae04.alicdn.com/kf/H27a4ef9b09b54df9807761e06a0bf603x.jpg,https://ae04.alicdn.com/kf/Ha1ad4803fa224bfbb125651d7af046e9B.jpg,https://ae04.alicdn.com/kf/H1b7a231ce66646438e1a588958e0e253j.jpg,https://ae04.alicdn.com/kf/H41a45609cad945fd96b4f3cf652507adI.jpg,",https://www.aliexpress.com/item/1005002427835410.html,13.67,8.20,9.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AY9mY7
Leggings,200000865,NORMOV Fitness Women Leggings Color Block Patchwork High Waist Ankle Length Polyester Leggings Workout Plus Size Pocket Leggins,1005002153586253,https://ae01.alicdn.com/kf/H3313604d15dc4796a2e2309371009652o/NORMOV-Fitness-Women-Leggings-Color-Block-Patchwork-High-Waist-Ankle-Length-Polyester-Leggings-Workout-Plus-Size.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3313604d15dc4796a2e2309371009652o.jpg,https://ae04.alicdn.com/kf/H820f1015bb1443ae8a4335cfb38a0931k.jpg,https://ae04.alicdn.com/kf/Hb6bd774f886045b3bccf909c90b5f06de.jpg,https://ae04.alicdn.com/kf/H6637b35f6d21421d8c7b3a9f889748bfU.jpg,https://ae04.alicdn.com/kf/Hb88249178a684b0d9a96bc92888fc80bE.jpg,",https://www.aliexpress.com/item/1005002153586253.html,28.99,15.94,30.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_9gU0eJ
Leggings,200000865,Women Slim Beauty Leg Shape Compression Burn Fat Thin SocksPantyhose Stock ing,32903317312,https://ae01.alicdn.com/kf/H13aa2c083a834bfea48e692dd92d0268F/Women-Slim-Beauty-Leg-Shape-Compression-Burn-Fat-Thin-SocksPantyhose-Stock-ing.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H13aa2c083a834bfea48e692dd92d0268F.jpg,https://ae04.alicdn.com/kf/HTB1DNU7zxuTBuNkHFNRq6A9qpXaD.jpg,https://ae04.alicdn.com/kf/HTB1TYvFH7OWBuNjSsppq6xPgpXa1.jpg,https://ae04.alicdn.com/kf/HTB1Cs5SzRyWBuNkSmFPq6xguVXaU.jpg,https://ae04.alicdn.com/kf/HTB1qThxHVmWBuNjSspdq6zugXXa1.jpg,",https://www.aliexpress.com/item/32903317312.html,3.58,2.54,25.00%,2098-12-31,29%,https://s.click.aliexpress.com/e/_AlYIrh
