Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Pants,201240601,"2021 The hot new summer sports pants for men, ice silk, cool pants, breathable, quick-drying pants, jogging pants, fitness pants",1005002325260913,https://ae01.alicdn.com/kf/Ha94cbc91f85e4b63ae438519d0ae1c2cC/2021-The-hot-new-summer-sports-pants-for-men-ice-silk-cool-pants-breathable-quick-drying.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha94cbc91f85e4b63ae438519d0ae1c2cC.jpg,https://ae04.alicdn.com/kf/H817d2e1f3f204af1b924301854dedd32i.jpg,https://ae04.alicdn.com/kf/Hb818794c157045ef8673c53f7ff71346A.jpg,https://ae04.alicdn.com/kf/Hc4645944171242d38432974deb13b0b7H.jpg,https://ae04.alicdn.com/kf/Hec4025f5e222482caa4c6441c459b021J.jpg,",https://www.aliexpress.com/item/1005002325260913.html,19.90,19.90,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9j6ClF
Pants,201240601,Spring and Summer Men's Sports Pants Male Loose All-match Tie Leg Pants BF Students Casual Pants Side Decoration Street Style,1005002499474128,https://ae01.alicdn.com/kf/H6c65e2bc21484875b1dadb6f56c8075dI/Spring-and-Summer-Men-s-Sports-Pants-Male-Loose-All-match-Tie-Leg-Pants-BF-Students.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6c65e2bc21484875b1dadb6f56c8075dI.jpg,https://ae04.alicdn.com/kf/H7caef781daa74fdbbb497bfe35cf40cds.jpg,https://ae04.alicdn.com/kf/H147e4a97c79c45e794c8c1ff74cee27fw.jpg,https://ae04.alicdn.com/kf/H698e064ac736402ca3b03918af6ded01I.jpg,https://ae04.alicdn.com/kf/Hfc959bb9ac0f4cbe9edf46833a88536a7.jpg,",https://www.aliexpress.com/item/1005002499474128.html,21.80,21.80,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_98u1Xx
Pants,201240601,New Jogging Pants Men Sport Sweatpants Running Pants GYM Pants Men Joggers Cotton Trackpants Slim Fit Pants Bodybuilding Trouser,1005002458741095,https://ae01.alicdn.com/kf/H9b46f0d4e52d4c6bad67faa61a94ac36w/New-Jogging-Pants-Men-Sport-Sweatpants-Running-Pants-GYM-Pants-Men-Joggers-Cotton-Trackpants-Slim-Fit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9b46f0d4e52d4c6bad67faa61a94ac36w.jpg,https://ae04.alicdn.com/kf/Hb11822d047ea488486bfc70bf4c49035r.jpg,https://ae04.alicdn.com/kf/H5df335d48fc943e0944a0693621a60edV.jpg,https://ae04.alicdn.com/kf/Hb6a04a321050498189c6568a66c79512o.jpg,https://ae04.alicdn.com/kf/H60553428405e4971a31e048c06bcda58R.jpg,",https://www.aliexpress.com/item/1005002458741095.html,12.84,12.84,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_Abl35X
Pants,201240601,Men's Cotton Linen Pants Male Summer Breathable Solid Loose Color Linen Trousers Casual Streetwear Elastic Waist Exercise Pant,1005002243021213,https://ae01.alicdn.com/kf/Hc1318d8d6a604719850621ca381d6c2aW/Men-s-Cotton-Linen-Pants-Male-Summer-Breathable-Solid-Loose-Color-Linen-Trousers-Casual-Streetwear-Elastic.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc1318d8d6a604719850621ca381d6c2aW.jpg,https://ae04.alicdn.com/kf/H03e97f73310647fea37a3a133c508a31s.jpg,https://ae04.alicdn.com/kf/H4af0b1196aca4b0f97bbcca920491a0cD.jpg,https://ae04.alicdn.com/kf/Hcdedeeabe4004275be6cb0bd29e749d2P.jpg,https://ae04.alicdn.com/kf/H58211388f0444475b4711f8f5599abc8p.jpg,",https://www.aliexpress.com/item/1005002243021213.html,7.98,7.98,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AD2wM1
Pants,201240601,Kanye West SEASON 6 Pants Skateboards Men Narrow Feet Cotton Sweatpants High Quality Plus Velvet Trousers Kardashian Pants,1005001504509827,https://ae01.alicdn.com/kf/Hee68dda2dc7d4e658f6b508a3f0df0b2c/Kanye-West-SEASON-6-Pants-Skateboards-Men-Narrow-Feet-Cotton-Sweatpants-High-Quality-Plus-Velvet-Trousers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hee68dda2dc7d4e658f6b508a3f0df0b2c.jpg,https://ae04.alicdn.com/kf/H0123a0b3172f4ad0acb13d115574d37d6.jpg,https://ae04.alicdn.com/kf/H50f6dcfd042948f48865c7ce2610e64ds.jpg,https://ae04.alicdn.com/kf/Hb0cebf629a524cd188e2313b7f3f70ces.jpg,https://ae04.alicdn.com/kf/H45903ee1d0334354a9672b2663c45a8fD.jpg,",https://www.aliexpress.com/item/1005001504509827.html,28.38,26.96,9.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_98mUFX
Pants,201240601,NEW Hot sale solid casual Mens Casual Slim Fit Tracksuit Sports Solid Male Gym Cotton Skinny Joggers Sweat Casual Pants Trousers,1005002492003341,https://ae01.alicdn.com/kf/H726e6bfa3c734d1dbe3add013d81bcaeL/NEW-Hot-sale-solid-casual-Mens-Casual-Slim-Fit-Tracksuit-Sports-Solid-Male-Gym-Cotton-Skinny.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H726e6bfa3c734d1dbe3add013d81bcaeL.jpg,https://ae04.alicdn.com/kf/H5975af9f67234c3ba27e8f9bc5faee7aZ.jpg,https://ae04.alicdn.com/kf/Hca42ea3d217e46f19c214b5d8678e922w.jpg,https://ae04.alicdn.com/kf/Hb06e09e8ad8748f29ddd472a600f52a8c.jpg,https://ae04.alicdn.com/kf/H5d13b8f646be4f1f975d712add80834bc.jpg,",https://www.aliexpress.com/item/1005002492003341.html,12.79,12.79,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9wL8gt
Pants,201240601,Summer Thin Style Men's Nine Minute Trousers Men's Broken Hole Jeans Slim Korean Version of Young Beggar Trousers Men's Trousers,1005002497272988,https://ae01.alicdn.com/kf/H29e15bfa5b1c4f04b1daa736e093f054V/Summer-Thin-Style-Men-s-Nine-Minute-Trousers-Men-s-Broken-Hole-Jeans-Slim-Korean-Version.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H29e15bfa5b1c4f04b1daa736e093f054V.jpg,https://ae04.alicdn.com/kf/H1367f65568ad4470ad883c374c02aecdw.jpg,https://ae04.alicdn.com/kf/H7878013d46e04819be0dca6b89ff1bb1k.jpg,https://ae04.alicdn.com/kf/H9db396225741400fa9ee65d3d167766fF.jpg,https://ae04.alicdn.com/kf/H26fb008226d84a1b8c692ca47122066cB.jpg,",https://www.aliexpress.com/item/1005002497272988.html,21.80,21.80,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AUr29L
Pants,201240601,2021New Men's Streetwear Styke Casual Loose Jeans Men Joggers Cargo Denim Pants Baggy Fashion Hip Hop Pants Trousers Size 8XL,1005002497271774,https://ae01.alicdn.com/kf/H17188dda044b4baba104d3281ebc6a4dJ/2021New-Men-s-Streetwear-Styke-Casual-Loose-Jeans-Men-Joggers-Cargo-Denim-Pants-Baggy-Fashion-Hip.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H17188dda044b4baba104d3281ebc6a4dJ.jpg,https://ae04.alicdn.com/kf/H754b8cf65eb94da98109b9a569e5d86et.jpg,https://ae04.alicdn.com/kf/H00587ac4359b4286aa65a79753d8ec52U.jpg,https://ae04.alicdn.com/kf/Hfdf127367cb54188bca9f7a762a04e03h.jpg,https://ae04.alicdn.com/kf/Hce021c13782d47b5a917622140b4807dZ.jpg,",https://www.aliexpress.com/item/1005002497271774.html,26.38,26.38,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A7CJ2Z
Pants,201240601,"Men's Casual Sports Pants Summer Quick-dry Black Pants Slim Nine Cropped Pants, Cupped Footwear, Men's Sports Jogging Pants",1005002506689235,https://ae01.alicdn.com/kf/H23289e325a114e67a4b74a066bc33b1d8/Men-s-Casual-Sports-Pants-Summer-Quick-dry-Black-Pants-Slim-Nine-Cropped-Pants-Cupped-Footwear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H23289e325a114e67a4b74a066bc33b1d8.jpg,https://ae04.alicdn.com/kf/H5877eb49713a46ecba8e86bb9370ebdfU.jpg,https://ae04.alicdn.com/kf/Hc3a67fe290a147198740072275977351O.jpg,https://ae04.alicdn.com/kf/H60665ac1455c4b3c9b3c32d9982820a7Z.jpg,",https://www.aliexpress.com/item/1005002506689235.html,15.80,15.80,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9vff4d
Pants,201240601,2021 Spring and Autumn New Fashion Casual Men's Plaid Cotton Belt Loose Flannel Joggers  Men's Trousers,1005002506121724,https://ae01.alicdn.com/kf/H667a8191ca1b494185c02c506af5c05av/2021-Spring-and-Autumn-New-Fashion-Casual-Men-s-Plaid-Cotton-Belt-Loose-Flannel-Joggers-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H667a8191ca1b494185c02c506af5c05av.jpg,https://ae04.alicdn.com/kf/Hfb332bafdb2b45feb98d284d4b58cf1e5.jpg,https://ae04.alicdn.com/kf/H7b6232ad1c03479ba4980fffc78b0eb7R.jpg,https://ae04.alicdn.com/kf/H29ee9452defb4f4fa0172fc7b94e2377h.jpg,https://ae04.alicdn.com/kf/H39e882d7e88240a48fd2077babc7ae538.jpg,",https://www.aliexpress.com/item/1005002506121724.html,18.61,18.61,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ANV8El
