Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Plus Size Clothes,201516501,Plus Size Summer Dress Elegant Mesh White Women's Dress 2021 New Casual Maxi Birthday Party Dresses Wedding Evening Prom Dresses,1005002233015827,https://ae01.alicdn.com/kf/H3a78c3a623084fe29d90d22e0694d70aq/Plus-Size-Summer-Dress-Elegant-Mesh-White-Women-s-Dress-2021-New-Casual-Maxi-Birthday-Party.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3a78c3a623084fe29d90d22e0694d70aq.jpg,https://ae04.alicdn.com/kf/H99caa6979f1b401a8de55be1838637bew.jpg,https://ae04.alicdn.com/kf/Hf0f4cb266aa744e0832e8f5d0089d211b.jpg,https://ae04.alicdn.com/kf/H2fe499787c2941cdbdb196e24bd7bcecK.jpg,https://ae04.alicdn.com/kf/H9e07ffe801384235b54183dd72d8f5dao.jpg,",https://www.aliexpress.com/item/1005002233015827.html,31.41,21.99,30.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A1REjS
Plus Size Clothes,201516501,Women's Summer Dresses Plus Size Birthday Party Dress 2021 New Elegant Lantern Sleeve Wedding Evening Green Dress Club Outfits,1005002232523698,https://ae01.alicdn.com/kf/H6831079865aa4bc99940bedf4e1236deq/Women-s-Summer-Dresses-Plus-Size-Birthday-Party-Dress-2021-New-Elegant-Lantern-Sleeve-Wedding-Evening.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6831079865aa4bc99940bedf4e1236deq.jpg,https://ae04.alicdn.com/kf/Hddac59e3c8e34a06aef21fdbf4d37756d.jpg,https://ae04.alicdn.com/kf/H8615da9a89f74512abe72ab17b5b64a8k.jpg,https://ae04.alicdn.com/kf/H0e4faebcdfb14ba9a63be98db4996b10T.jpg,https://ae04.alicdn.com/kf/H87c5e1b5cfc645e4946a43ba4bb71ff2M.jpg,",https://www.aliexpress.com/item/1005002232523698.html,39.99,27.99,30.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_9h3Q32
Plus Size Clothes,201516501,Plus Size 5XL Women Blouse Bohe V Neck Long Sleeve Batwing Tie Dye Print Buttons Shirt Spring Autumn Casual Loose Female Tops,1005002146349430,https://ae01.alicdn.com/kf/Hb5fb835cfc8d462cbd5ba9fd0f01565ak/Plus-Size-5XL-Women-Blouse-Bohe-V-Neck-Long-Sleeve-Batwing-Tie-Dye-Print-Buttons-Shirt.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb5fb835cfc8d462cbd5ba9fd0f01565ak.jpg,https://ae04.alicdn.com/kf/H430f2b1dc7044d3f962e4c2e9e2fd69cU.jpg,https://ae04.alicdn.com/kf/H6417a848c0f34bab916793647d48852d8.jpg,https://ae04.alicdn.com/kf/H16450ff6ad174bffb1d2866ea5776e5bD.jpg,https://ae04.alicdn.com/kf/H61438457752b4e869e6bdb0f860f71b8g.jpg,",https://www.aliexpress.com/item/1005002146349430.html,22.00,14.08,9.00%,2098-12-31,36%,https://s.click.aliexpress.com/e/_9gYaGy
Plus Size Clothes,201516501,Women's Dress Perspective Mesh Plus Size Summer Chiffon Sleeveless Dress Sexy Tube Top with Bow Dresses 2021 New Arrivals,1005002197917655,https://ae01.alicdn.com/kf/H1fb3f294b11943c3beb4ab4ca089714eL/Women-s-Dress-Perspective-Mesh-Plus-Size-Summer-Chiffon-Sleeveless-Dress-Sexy-Tube-Top-with-Bow.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1fb3f294b11943c3beb4ab4ca089714eL.jpg,https://ae04.alicdn.com/kf/H85168e0e109847f797c769ae4b7298522.jpg,https://ae04.alicdn.com/kf/H3bd57e81a02e46498f4e436926f3c594g.jpg,https://ae04.alicdn.com/kf/H570c7038e4104992a2ae71e3e05496c34.jpg,https://ae04.alicdn.com/kf/H99f2c3c8d9f24156b946ac1c7250a8772.jpg,",https://www.aliexpress.com/item/1005002197917655.html,34.27,23.99,9.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_Al8tBI
Plus Size Clothes,201516501,Women Dress Plus Size Summer Elegant Flying Sleeves Casual Dress 2021 New V Neck Loose Folds Party Dresses Birthday Outfits,1005002259372299,https://ae01.alicdn.com/kf/H3190049264bf43939e9e7172075d1ec3w/Women-Dress-Plus-Size-Summer-Elegant-Flying-Sleeves-Casual-Dress-2021-New-V-Neck-Loose-Folds.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3190049264bf43939e9e7172075d1ec3w.jpg,https://ae04.alicdn.com/kf/He3658622739d438ebacb596a193ad9c5s.jpg,https://ae04.alicdn.com/kf/H32700b20d4a247d0ba5680cfe96c8f53j.jpg,https://ae04.alicdn.com/kf/Hdeb3fdadb8954517be374b4a08410289h.jpg,https://ae04.alicdn.com/kf/Hcf956cddc36840ef8840599d2598bfd6K.jpg,",https://www.aliexpress.com/item/1005002259372299.html,34.27,23.99,9.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AKTWhQ
Plus Size Clothes,201516501,Plu Size Women Chiffon Dress Floral Print Sleeveless Summer Dress Elegant V Neck A-line Maxi Vestidos 2021 New Casual Dresses,1005002239498038,https://ae01.alicdn.com/kf/Hb989e71f02cf4bda93a95c9bc3780a99J/Plu-Size-Women-Chiffon-Dress-Floral-Print-Sleeveless-Summer-Dress-Elegant-V-Neck-A-line-Maxi.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb989e71f02cf4bda93a95c9bc3780a99J.jpg,https://ae04.alicdn.com/kf/Hd3f2ffa562434e42b93b7634c196e37cA.jpg,https://ae04.alicdn.com/kf/H45e7f02cf3f7467b8df0af879ee57fecR.jpg,https://ae04.alicdn.com/kf/H40deb1baea4142a9a5d9b652032b0d35x.jpg,https://ae04.alicdn.com/kf/Hbede0373272b4fc2a86ba42a39eda4a1h.jpg,",https://www.aliexpress.com/item/1005002239498038.html,32.84,22.99,9.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AAIsP6
Plus Size Clothes,201516501,Plus Size Women White Blouses Basic Selling Button Solid 2021 summer Long Sleeve Shirt Female Chiffon Women's Slim Clothing Tops,1005002132947263,https://ae01.alicdn.com/kf/Hff8a6f1512c040a59c57d35cf2609430m/Plus-Size-Women-White-Blouses-Basic-Selling-Button-Solid-2021-summer-Long-Sleeve-Shirt-Female-Chiffon.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hff8a6f1512c040a59c57d35cf2609430m.jpg,https://ae04.alicdn.com/kf/Hf851c8c1b84246e097b524ae4b2c78b6z.jpg,https://ae04.alicdn.com/kf/H1b8d53b26dce44a59a7532f9688187013.jpg,https://ae04.alicdn.com/kf/Hea43f3f8b97b41899738d046e82d6debp.jpg,https://ae04.alicdn.com/kf/H1679880723fd4c3ab9c9e30650d91601g.jpg,",https://www.aliexpress.com/item/1005002132947263.html,19.12,12.24,9.00%,2098-12-31,36%,https://s.click.aliexpress.com/e/_AewiSY
Plus Size Clothes,201516501,Japanese Sweet Girl Lolita Dress 2021 Summer New Women Doll Collar Bow First Love Dress Soft Sister Princess Lolita Dresses,1005002286091410,https://ae01.alicdn.com/kf/H12dc203f03474458b46ef5936af14e37Z/Japanese-Sweet-Girl-Lolita-Dress-2021-Summer-New-Women-Doll-Collar-Bow-First-Love-Dress-Soft.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H12dc203f03474458b46ef5936af14e37Z.jpg,https://ae04.alicdn.com/kf/H80d55ff88f4b431b8d1f1984ca2a6f89z.jpg,https://ae04.alicdn.com/kf/Hc1679a44d8214312b50139ffab5b2d418.jpg,https://ae04.alicdn.com/kf/Hc1b2950de5834f83bde9ffb823c0e007R.jpg,https://ae04.alicdn.com/kf/Hb7d8d06c302d4b9a9dbb6bca61931b86s.jpg,",https://www.aliexpress.com/item/1005002286091410.html,29.86,18.21,9.00%,2098-12-31,39%,https://s.click.aliexpress.com/e/_AfS5xQ
Plus Size Clothes,201516501,Special size women's clothing women's loose autumn t-shirt,1005002264191206,https://ae01.alicdn.com/kf/H5193c52922a2419fa589a864b46d9c4d5/Special-size-women-s-clothing-women-s-loose-autumn-t-shirt.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5193c52922a2419fa589a864b46d9c4d5.jpg,https://ae04.alicdn.com/kf/H3d488cedd8754b8bbc170c42104c12878.jpg,https://ae04.alicdn.com/kf/He02002e81fd148c0bcbd85de38f6eee4u.jpg,https://ae04.alicdn.com/kf/H91c15e894e654c0aa1ff4e884fd8c4aeQ.jpg,https://ae04.alicdn.com/kf/Ha0989490cfb24b7db9d5c1891fe36a15d.jpg,",https://www.aliexpress.com/item/1005002264191206.html,31.40,21.98,10.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A0Znuu
Plus Size Clothes,201516501,Boho Chic Plus Size Top Tee Shirts Lace V Neck Tie Front Women Sexy Short Loose Blouse Green,1005002271928268,https://ae01.alicdn.com/kf/H6fab987e23f8468890f1b4a6c567b647E/Boho-Chic-Plus-Size-Top-Tee-Shirts-Lace-V-Neck-Tie-Front-Women-Sexy-Short-Loose.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6fab987e23f8468890f1b4a6c567b647E.jpg,https://ae04.alicdn.com/kf/Haf5ea35b851d4d429299bb3c19b1da00L.jpg,https://ae04.alicdn.com/kf/H48085e9c5bb84e2ba96d2b7cc2354fe8f.jpg,https://ae04.alicdn.com/kf/H8721eb0d75fd4c909e9b506b9f7c43a49.jpg,https://ae04.alicdn.com/kf/Hd8b97bd6779449788244048b9e55a5410.jpg,",https://www.aliexpress.com/item/1005002271928268.html,12.99,,9.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_9I9ZxI
