Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Makeup,660103,NOVO 18 Colors Glitter Shimmer Matte Nude Eyeshadow Palette Pigmented Metallic Natural Eye Shadow For Makeup Cosmetic,1005002520211390,https://ae01.alicdn.com/kf/H7a15e81e865a4ec0bcad8e21d01fc677B/NOVO-18-Colors-Glitter-Shimmer-Matte-Nude-Eyeshadow-Palette-Pigmented-Metallic-Natural-Eye-Shadow-For-Makeup.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7a15e81e865a4ec0bcad8e21d01fc677B.jpg,https://ae04.alicdn.com/kf/H2a55b716421742f8a88e196f7dcf8bb6B.jpg,https://ae04.alicdn.com/kf/H5120bb8ecaeb4ee0a8dc4e936f8d32eaP.jpg,https://ae04.alicdn.com/kf/Hbc13bc8e991446d58f32645ee70713b2t.jpg,https://ae04.alicdn.com/kf/Hd82adfdd2be34f1fa48e22ccd9d4f1935.jpg,",https://www.aliexpress.com/item/1005002520211390.html,22.49,22.49,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9QbTmv
Makeup,660103,2 Color Illuminator Shimmer Highlighter Bronzer Makeup Highlight Pressed Powder Contour Eye Shadow Palette Face Blush Cosmetic,1005002555388101,https://ae01.alicdn.com/kf/Hfcfb3f2ef9df42dbb198ca8ca0947ad5P/2-Color-Illuminator-Shimmer-Highlighter-Bronzer-Makeup-Highlight-Pressed-Powder-Contour-Eye-Shadow-Palette-Face-Blush.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfcfb3f2ef9df42dbb198ca8ca0947ad5P.jpg,https://ae04.alicdn.com/kf/Ha91449fb1bf54a248f9aa624cf7f3d06U.jpg,https://ae04.alicdn.com/kf/H27cd983468b74ed283b2aa7f802910c3W.jpg,https://ae04.alicdn.com/kf/H7d66ac6d4a8c457b8cd8249790eb1831B.jpg,https://ae04.alicdn.com/kf/H70f0fe4158e44c7caf70b9a0d3ad60abI.jpg,",https://www.aliexpress.com/item/1005002555388101.html,4.99,4.99,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ALBvPj
Makeup,660103,Liquid Eyeliner Quick-drying Long-lasting Non-fading Waterproof Concealer Beauty Tool 5 Colors,1005002483666499,https://ae01.alicdn.com/kf/He7e06570005b4984bcf0063ac4a0d9b5h/Liquid-Eyeliner-Quick-drying-Long-lasting-Non-fading-Waterproof-Concealer-Beauty-Tool-5-Colors.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He7e06570005b4984bcf0063ac4a0d9b5h.jpg,https://ae04.alicdn.com/kf/H6b2942b3d45d47d88de2b58e42515b3aw.jpg,https://ae04.alicdn.com/kf/Hdc2d9a4f31244eee9d4de2a8c915d9e3s.jpg,https://ae04.alicdn.com/kf/Hd0524666e2d54f81a1f78124c5516de2Z.jpg,https://ae04.alicdn.com/kf/H03ef9c96376c4a2fbfe4e1ae6dd16495O.jpg,",https://www.aliexpress.com/item/1005002483666499.html,3.69,3.69,20.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9IVRlr
Makeup,660103,40-Color Eyeshadow Palette Makeup Tray Long Lasting Non-Marking Waterproof High Gloss Matte Shadow Makeup Powder,1005002536913533,https://ae01.alicdn.com/kf/He8e1604df63640f8a2d031a189c72ceff/40-Color-Eyeshadow-Palette-Makeup-Tray-Long-Lasting-Non-Marking-Waterproof-High-Gloss-Matte-Shadow-Makeup.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He8e1604df63640f8a2d031a189c72ceff.jpg,https://ae04.alicdn.com/kf/H01f6fb68b26c4b758cf4b794abb966d8k.jpg,https://ae04.alicdn.com/kf/H346b094455554ef99d8c9d998a9136ecx.jpg,https://ae04.alicdn.com/kf/Hda67fe91234c4c60905190f536890f82I.jpg,https://ae04.alicdn.com/kf/H2b5b1f9b7b1a4535bdfaaa54ff7ad0eaX.jpg,",https://www.aliexpress.com/item/1005002536913533.html,12.69,12.69,20.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A36rOp
Makeup,660103,New 18 Colors Nude Glitter Eyeshadow Matte Shimmer Palette Long Lasting Waterproof Mineral Powder Eye Shadow Makeup Cosmetic Kit,1005002555550169,https://ae01.alicdn.com/kf/H4894c556d1a843d0a5f9620d31ef6f3cz/New-18-Colors-Nude-Glitter-Eyeshadow-Matte-Shimmer-Palette-Long-Lasting-Waterproof-Mineral-Powder-Eye-Shadow.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4894c556d1a843d0a5f9620d31ef6f3cz.jpg,https://ae04.alicdn.com/kf/H485021963f3444af9305dd5af44d03375.jpg,https://ae04.alicdn.com/kf/H8cd56617390b4af5820021c0123ac9571.jpg,https://ae04.alicdn.com/kf/Hd1c02f33dd444e13a6173dc661532bad6.jpg,https://ae04.alicdn.com/kf/Hba2a18008ec64c5ca110d63dee6056d6r.jpg,",https://www.aliexpress.com/item/1005002555550169.html,18.56,18.56,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AAA9fF
Makeup,660103,5 Color Illuminator Highlighter Palette Makeup Concealer Face Foundation Shimmer Contour Powder Palette Highlight Face Blush,1005002555477466,https://ae01.alicdn.com/kf/H09e92fa5901441b4aebe52d1e8602471y/5-Color-Illuminator-Highlighter-Palette-Makeup-Concealer-Face-Foundation-Shimmer-Contour-Powder-Palette-Highlight-Face-Blush.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H09e92fa5901441b4aebe52d1e8602471y.jpg,https://ae04.alicdn.com/kf/H4b2af3346c4b4f46a1e81f99dcca5a11n.jpg,https://ae04.alicdn.com/kf/H280b162eb6354ded9e8620001c18f764N.jpg,https://ae04.alicdn.com/kf/H67bcf2b0f4c44592baadc27a0c963005C.jpg,https://ae04.alicdn.com/kf/H27d0fed1594743958a12c6a0a606f9bdv.jpg,",https://www.aliexpress.com/item/1005002555477466.html,4.99,4.99,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AsKd61
Makeup,660103,4d Fibra De Seda Cílios Alongamento Rímel A Prova Dwaterproof Agua Longa Duração Chicote Preto Cílios Extensão Compõem 3d Rímel,1005002555965588,https://ae01.alicdn.com/kf/Hc7d5868034f34e7f817dc0992f6cfc30t/4d-Fibra-De-Seda-Cílios-Alongamento-Rímel-A-Prova-Dwaterproof-Agua-Longa-Duração-Chicote-Preto-Cílios.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc7d5868034f34e7f817dc0992f6cfc30t.jpg,https://ae04.alicdn.com/kf/H0a18f8484a8c4f2a8049adfe1c3735c9J.jpg,https://ae04.alicdn.com/kf/H14ffb121375640a9bb46b319a77ae959B.jpg,https://ae04.alicdn.com/kf/H4ec683953dc24fff8437f3f08de0f5b8c.jpg,https://ae04.alicdn.com/kf/H705b496bacdd45968ab1c34b0766949cn.jpg,",https://www.aliexpress.com/item/1005002555965588.html,44.34,44.34,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9Hoe29
Makeup,660103,Liquid Eyeshadow Is Easy To Color Lasting Non-marking Waterproof Makeup Tool,1005002488296732,https://ae01.alicdn.com/kf/He6f66cd1ec7144adb8a4094198e1e5d1U/Liquid-Eyeshadow-Is-Easy-To-Color-Lasting-Non-marking-Waterproof-Makeup-Tool.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He6f66cd1ec7144adb8a4094198e1e5d1U.jpg,https://ae04.alicdn.com/kf/H9f3d36141d044f4b95640ee576b9a388E.jpg,https://ae04.alicdn.com/kf/H957c69f7bd08486b8409ae90298dce22D.jpg,https://ae04.alicdn.com/kf/H8aff8b310ee046c3875ae268666ffc77A.jpg,https://ae04.alicdn.com/kf/H6ed7e0aa85cc423ab43351a5112b0a84t.jpg,",https://www.aliexpress.com/item/1005002488296732.html,3.25,3.25,20.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A24MTX
Makeup,660103,6Pcs/Set 14cm Blusher Eye Shadow Bronzer Sculpting Lip FOUNDATION Eyelashes Makeup Brush,1005002541977293,https://ae01.alicdn.com/kf/H83d058c9e4a5421b8d852a52c8a6d12d9/6Pcs-Set-14cm-Blusher-Eye-Shadow-Bronzer-Sculpting-Lip-FOUNDATION-Eyelashes-Makeup-Brush.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H83d058c9e4a5421b8d852a52c8a6d12d9.jpg,https://ae04.alicdn.com/kf/H10add1ad904747e1ac5020c71d8671a2T.jpg,https://ae04.alicdn.com/kf/H90544fe1052345f4bb72ad4cd710b181l.jpg,https://ae04.alicdn.com/kf/H4c7a08ae8bb648ddbe174f34c546354aR.jpg,https://ae04.alicdn.com/kf/Heeea910817dc46089b73e10cc6809cf0j.jpg,",https://www.aliexpress.com/item/1005002541977293.html,4.00,4.00,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A9siG1
Makeup,660103,It takes only a few seconds to significantly curl the eyelashes and lash line,1005001793296621,https://ae01.alicdn.com/kf/H6b097400f1d446fb87303d173f352700f/It-takes-only-a-few-seconds-to-significantly-curl-the-eyelashes-and-lash-line.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6b097400f1d446fb87303d173f352700f.jpg,https://ae04.alicdn.com/kf/H5bdfa2ff86c549048728d19e682aecb5k.jpg,https://ae04.alicdn.com/kf/H470616d5b49a421fafb7ffa554534fbeR.jpg,https://ae04.alicdn.com/kf/H126de91ca6b04e009a233b4bd1a5f1afH.jpg,https://ae04.alicdn.com/kf/H436ba736b74e48088b2888dd20cc1786E.jpg,",https://www.aliexpress.com/item/1005001793296621.html,0.95,0.81,8.00%,2098-12-31,15%,https://s.click.aliexpress.com/e/_AdNmJP
