Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Dresses,200000347,Plus Size Striped Patchwork Dress Women 2021 Spring Long Sleeve Dresses Oversized  Faux Two Piece A-line Pockets Vestidos Femme,1005001957734028,https://ae01.alicdn.com/kf/H1a527683214b4e7e94ad266973f2e68a5/Plus-Size-Striped-Patchwork-Dress-Women-2021-Spring-Long-Sleeve-Dresses-Oversized-Faux-Two-Piece-A.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1a527683214b4e7e94ad266973f2e68a5.jpg,https://ae04.alicdn.com/kf/Hfbf43311ce874bcbadf1229fcdd757c4H.jpg,https://ae04.alicdn.com/kf/Hcdb374c907e849b7b3c3e0e91ea2dfd8s.jpg,https://ae04.alicdn.com/kf/H30ed47fad65f46988e41cff33048dfc9b.jpg,https://ae04.alicdn.com/kf/Ha6cdbc03d22b41d8a11f06c0a5298b07z.jpg,",https://www.aliexpress.com/item/1005001957734028.html,37.98,22.79,9.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9A0GXQ
Dresses,200000347,Women's Leopard Print Irregular Ruffled Spring/Summer 2021 New Dress,1005002292063451,https://ae01.alicdn.com/kf/H9cd82a41654f48f58bd371822a18fa477/Women-s-Leopard-Print-Irregular-Ruffled-Spring-Summer-2021-New-Dress.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9cd82a41654f48f58bd371822a18fa477.jpg,https://ae04.alicdn.com/kf/H15eecc0dfb974a2e89355d0ff7bdd1ac5.jpg,https://ae04.alicdn.com/kf/H8d8fcef4748e43f4aee4e758ac992bcfM.jpg,https://ae04.alicdn.com/kf/H3c26c67b280243d08d87f1b804b15e4bA.jpg,https://ae04.alicdn.com/kf/H228d438e83f04e2098ed3086936e90fbe.jpg,",https://www.aliexpress.com/item/1005002292063451.html,18.89,,9.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_9xsc4C
Dresses,200000347,Women Sexy Mini Dress Hollow Out Backless O Neck Bag Hip Slim Bodycon Party Dress Spring 2021 Fashion Striped Stitching Dresses,1005001887625908,https://ae01.alicdn.com/kf/H1cd2cf2f68bf42ee814b9ca0189b6d30C/Women-Sexy-Mini-Dress-Hollow-Out-Backless-O-Neck-Bag-Hip-Slim-Bodycon-Party-Dress-Spring.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1cd2cf2f68bf42ee814b9ca0189b6d30C.jpg,https://ae04.alicdn.com/kf/Hb5b8beccbdda4b76b9e20ea2c3799852c.jpg,https://ae04.alicdn.com/kf/H862f27c8e8e548d095339b75416750e6M.jpg,https://ae04.alicdn.com/kf/H5316dd23525d4a469146f850e8b5489ec.jpg,https://ae04.alicdn.com/kf/H637a69783e5e4ad9a30c0a7c13fa184eh.jpg,",https://www.aliexpress.com/item/1005001887625908.html,15.96,11.97,9.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AsMKVa
Dresses,200000347,Vestidos Plus Size Women New Autumn  Dresses Sexy U Neck Backless knitted Dress Elegant Solid Drawstring Lady Party Mini Dresses,1005001562072659,https://ae01.alicdn.com/kf/Hb7b083cdaaea41ed8e67da70518de84ck/Vestidos-Plus-Size-Women-New-Autumn-Dresses-Sexy-U-Neck-Backless-knitted-Dress-Elegant-Solid-Drawstring.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb7b083cdaaea41ed8e67da70518de84ck.jpg,https://ae04.alicdn.com/kf/H4ab0f6e61e5d468d955ba1db74801b9aP.jpg,https://ae04.alicdn.com/kf/Had263123b1b54abab0d74fbd2d4325e8J.jpg,https://ae04.alicdn.com/kf/Hde2392f3af7e4a66b1c3437389126b2a8.jpg,https://ae04.alicdn.com/kf/H6b5834a8d58e4669b77187c4fb15f800i.jpg,",https://www.aliexpress.com/item/1005001562072659.html,16.88,12.66,9.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_Ao4vBE
Dresses,200000347,Women Elegant Solid Long Party Dress Casual Pocket Bib Warm Autumn Winter Dress Vintage Long Sleeve Lady Maxi Dresses Plus Size,1005001627167636,https://ae01.alicdn.com/kf/Hfe0dc4447a8d4807ae6249c3860433ccw/Women-Elegant-Solid-Long-Party-Dress-Casual-Pocket-Bib-Warm-Autumn-Winter-Dress-Vintage-Long-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfe0dc4447a8d4807ae6249c3860433ccw.jpg,https://ae04.alicdn.com/kf/H6249a28eaae04cbe801a0c96d873ebbfa.jpg,https://ae04.alicdn.com/kf/H89c6b57442c34948ba54e7e6d40db3267.jpg,https://ae04.alicdn.com/kf/H906ae3a12ee444e981f0f2a42118d829p.jpg,https://ae04.alicdn.com/kf/H0cce7be77c5448bf8b8741a3269bf9a9I.jpg,",https://www.aliexpress.com/item/1005001627167636.html,22.08,16.56,9.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_A7tpsc
Dresses,200000347,New Spring 2021 Hooded Dress Solid Color Patchwork Long Sleeve Maxi Dress Fashion Casual Women Streetwear Slim Dresses Plus Size,1005002011683866,https://ae01.alicdn.com/kf/H86df72e4bc684b0bbc54ca6ced064263C/New-Spring-2021-Hooded-Dress-Solid-Color-Patchwork-Long-Sleeve-Maxi-Dress-Fashion-Casual-Women-Streetwear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H86df72e4bc684b0bbc54ca6ced064263C.jpg,https://ae04.alicdn.com/kf/H5e2f557487944bc7834db6315cca44d60.jpg,https://ae04.alicdn.com/kf/H859a534a744f4e3ca040bbc91574122ey.jpg,https://ae04.alicdn.com/kf/H8afa214b63e24963b7426a622a7f77ebu.jpg,https://ae04.alicdn.com/kf/H700b0c6572ca4bfbadd722adf56b176dj.jpg,",https://www.aliexpress.com/item/1005002011683866.html,20.84,15.63,9.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AEnpQo
Dresses,200000347,Spring Summer New Fashion Mini Dress Women Sexy Big Backless Leopard Print Slim Dress 2021 Ladies O Neck Flared Sleeves Dresses,1005001998630436,https://ae01.alicdn.com/kf/H7338cac59f294ab88121140f11a35179U/Spring-Summer-New-Fashion-Mini-Dress-Women-Sexy-Big-Backless-Leopard-Print-Slim-Dress-2021-Ladies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7338cac59f294ab88121140f11a35179U.jpg,https://ae04.alicdn.com/kf/Hddbc3229b15c4d7babc08d7fb240d5e8E.jpg,https://ae04.alicdn.com/kf/H876e2300c95c42929f832205b1a8dd325.jpg,https://ae04.alicdn.com/kf/H0cd8697368dc41e78bc184009ea068bcm.jpg,https://ae04.alicdn.com/kf/Ha15e9f8dbafd4077bc8e494ea2ab6b00h.jpg,",https://www.aliexpress.com/item/1005001998630436.html,13.35,10.01,9.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AV3YpE
Dresses,200000347,New Single Shoulder Hollow Dresses Fashion Tube Top Solid Party Dress Spring Autumn Women Elegant Sexy Sleeveless Dress Vestidos,1005001747226271,https://ae01.alicdn.com/kf/H802e83f52eba41209a92e1facee9b05fr/New-Single-Shoulder-Hollow-Dresses-Fashion-Tube-Top-Solid-Party-Dress-Spring-Autumn-Women-Elegant-Sexy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H802e83f52eba41209a92e1facee9b05fr.jpg,https://ae04.alicdn.com/kf/H46eff1f1a17b49e4ad2dd61c5f2a5736W.jpg,https://ae04.alicdn.com/kf/H670274d2863c40ef909034ebc90cbb94B.jpg,https://ae04.alicdn.com/kf/H2170c2d0e1f642bfad15807053d7043cH.jpg,https://ae04.alicdn.com/kf/H742dfdf0211546d283d6cc377819d104Z.jpg,",https://www.aliexpress.com/item/1005001747226271.html,16.91,12.68,9.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AbN7La
Dresses,200000347,Autumn Winter Women Elegant Party Dress Fashion Black PU Patchwork Pleated Dress Sexy Lace Long Sleeve Hollow Out A-Line Dresses,1005001749319125,https://ae01.alicdn.com/kf/H60610ef441f44ee4a633d953f2ef8d60w/Autumn-Winter-Women-Elegant-Party-Dress-Fashion-Black-PU-Patchwork-Pleated-Dress-Sexy-Lace-Long-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H60610ef441f44ee4a633d953f2ef8d60w.jpg,https://ae04.alicdn.com/kf/H1c48e18582e94d92acc70f2588a31dbdJ.jpg,https://ae04.alicdn.com/kf/Hfdc034aaea4741729ea2f893278bd539J.jpg,https://ae04.alicdn.com/kf/H9a0b2f6a78f24ccc9fd505ef0cadb848d.jpg,https://ae04.alicdn.com/kf/Hf614ff3a6c304ae2bb2ed91521e3aea7j.jpg,",https://www.aliexpress.com/item/1005001749319125.html,22.66,17.00,9.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_ArgNC8
Dresses,200000347,Off Shoulder V Neck Ladies Sexy PU Mini Dress Elegant Solid Lantern Sleeve Dress Autumn Women Spaghetti Strap Slim Party Dresses,1005001525293196,https://ae01.alicdn.com/kf/Hfb37b481f0cc446c84404225fa24288do/Off-Shoulder-V-Neck-Ladies-Sexy-PU-Mini-Dress-Elegant-Solid-Lantern-Sleeve-Dress-Autumn-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfb37b481f0cc446c84404225fa24288do.jpg,https://ae04.alicdn.com/kf/Hfd0fc258e4d24475bef84782b824a389W.jpg,https://ae04.alicdn.com/kf/Hf8b6b3c7e917409f82854921e2eebc37t.jpg,https://ae04.alicdn.com/kf/H7f124c86e6744001b6c6c1486d9551248.jpg,https://ae04.alicdn.com/kf/H5b3eca32c0e44ca7b17ffaae86b5a748e.jpg,",https://www.aliexpress.com/item/1005001525293196.html,24.26,18.20,9.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_Aah9y8
