Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Leggings,200000865,Casual Women Leggings High Waist Cotton Skinny Legging For Women Ladies Solid Striped Quaily Leggings,1005002278407711,https://ae01.alicdn.com/kf/H0c780834af524e1e835ab15197583e51F/Casual-Women-Leggings-High-Waist-Cotton-Skinny-Legging-For-Women-Ladies-Solid-Striped-Quaily-Leggings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0c780834af524e1e835ab15197583e51F.jpg,https://ae04.alicdn.com/kf/Hcca8b01cee174fc18532abd8de61b858v.jpg,https://ae04.alicdn.com/kf/H61551428d690499db34f9b2d36c27616X.jpg,https://ae04.alicdn.com/kf/H97cfae3ca9634eee9f1c33b2231d252ft.jpg,https://ae04.alicdn.com/kf/H916980abf4334992ba2fd318d30470dfB.jpg,",https://www.aliexpress.com/item/1005002278407711.html,176.31,114.60,30.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AtCico
Leggings,200000865,Sexy Women Leggings 2020 Lady Thin Elastic Jeans Leggings with Pocket High Waist Slim Fit Denim Fashion Pants Trousers dg88,33054661121,https://ae01.alicdn.com/kf/HTB1L8T7XkP2gK0jSZPxq6ycQpXan/Sexy-Women-Leggings-2020-Lady-Thin-Elastic-Jeans-Leggings-with-Pocket-High-Waist-Slim-Fit-Denim.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1L8T7XkP2gK0jSZPxq6ycQpXan.jpg,https://ae04.alicdn.com/kf/H800394e5f78d4b29beeb0fc777771c77M.jpg,https://ae04.alicdn.com/kf/HTB14C9odRiE3KVjSZFMq6zQhVXaO.jpg,https://ae04.alicdn.com/kf/HTB1gTf8Xi_1gK0jSZFqq6ApaXXaZ.jpg,https://ae04.alicdn.com/kf/HTB1jhOxdG5s3KVjSZFNq6AD3FXa9.jpg,",https://www.aliexpress.com/item/33054661121.html,7.20,5.26,10.00%,2098-12-31,27%,https://s.click.aliexpress.com/e/_A9LTfw
Leggings,200000865,2020 Women High Waist Anti-Cellulite Hip-Lift Compression Slim Fitness  Leggings Workout Push Up Tummy Control Running dg88,33057330466,https://ae01.alicdn.com/kf/HTB1t2IWdBCw3KVjSZR0q6zcUpXaq/2020-Women-High-Waist-Anti-Cellulite-Hip-Lift-Compression-Slim-Fitness-Leggings-Workout-Push-Up-Tummy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1t2IWdBCw3KVjSZR0q6zcUpXaq.jpg,https://ae04.alicdn.com/kf/HTB17WqPXoY1gK0jSZFMq6yWcVXaq.jpg,https://ae04.alicdn.com/kf/HTB17ZVidQ5E3KVjSZFCq6zuzXXap.jpg,https://ae04.alicdn.com/kf/HTB1Pf7UdBKw3KVjSZFOq6yrDVXaA.jpg,https://ae04.alicdn.com/kf/HTB1ydVgdLWG3KVjSZFgq6zTspXaq.jpg,",https://www.aliexpress.com/item/33057330466.html,7.89,5.76,11.00%,2098-12-31,27%,https://s.click.aliexpress.com/e/_AVzRAs
Leggings,200000865,Women High Waist Leggings No See Through Thick Fitness Legging Butt Lift Seamless Legins Workout Gym Scrunch Booty Push Up Pants,1005002298324626,https://ae01.alicdn.com/kf/H7d077ec53530488f848d03ee2257bbc3M/Women-High-Waist-Leggings-No-See-Through-Thick-Fitness-Legging-Butt-Lift-Seamless-Legins-Workout-Gym.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7d077ec53530488f848d03ee2257bbc3M.jpg,https://ae04.alicdn.com/kf/H7f78b40b46c14b4ab8b151c0fe566ccfr.jpg,https://ae04.alicdn.com/kf/Hcdf53284fe974d709cfb0a573d6d7bbcV.jpg,https://ae04.alicdn.com/kf/H15ae1eec83854257ad0d778f50218570O.jpg,https://ae04.alicdn.com/kf/H81842db9a10a4ae199a9ea553d8efd25U.jpg,",https://www.aliexpress.com/item/1005002298324626.html,46.73,23.37,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9ycLhq
Leggings,200000865,Qickitout 12%spandex Sexy High Waist Elasticity Women Digital Printed Leggings Push Up Strength Pants,1005002298292966,https://ae01.alicdn.com/kf/Heb3a03532e994a7cad9e3156ebbf0e0bc/Qickitout-12-spandex-Sexy-High-Waist-Elasticity-Women-Digital-Printed-Leggings-Push-Up-Strength-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Heb3a03532e994a7cad9e3156ebbf0e0bc.jpg,https://ae04.alicdn.com/kf/Hd20fb035168b4d3199a5cf1137656e56Z.jpg,https://ae04.alicdn.com/kf/Hb7b1eae405d74026b061816c892a4b2ce.jpg,https://ae04.alicdn.com/kf/Hf81aed3dffa443eb93e989cc887aa4bel.jpg,https://ae04.alicdn.com/kf/H1048689772be436d8ed2b72de71f33dbp.jpg,",https://www.aliexpress.com/item/1005002298292966.html,31.61,15.81,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_APmLFE
Leggings,200000865,High Waist Seamless Leggings Push Up Leggins Sport Women Fitness Running Gym Pants Energy Seamless Leggings Sport Girl Leggins,1005002298500197,https://ae01.alicdn.com/kf/H37cf511110c94998a1fa44fd5d260796R/High-Waist-Seamless-Leggings-Push-Up-Leggins-Sport-Women-Fitness-Running-Gym-Pants-Energy-Seamless-Leggings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H37cf511110c94998a1fa44fd5d260796R.jpg,https://ae04.alicdn.com/kf/Hb0afa851efc847da818845dc9ca07de2o.jpg,https://ae04.alicdn.com/kf/H1d07bb3997d54b52a736f52e077c8cceb.jpg,https://ae04.alicdn.com/kf/H5b4b15519ff049df8dd5a361e1c64991n.jpg,https://ae04.alicdn.com/kf/H4f438c4515f74fc3946bc7dd5f3e5016q.jpg,",https://www.aliexpress.com/item/1005002298500197.html,37.90,18.95,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9H2HmC
Leggings,200000865,Everbellus High Waist Leather Leggings for Women Black Light&Matt Thin&Thick Femme Fitness PU Leggings Sexy Push Up Slim Pants,1005002298480279,https://ae01.alicdn.com/kf/H6dc44b7ab8c84535af657f7572fed551x/Everbellus-High-Waist-Leather-Leggings-for-Women-Black-Light-Matt-Thin-Thick-Femme-Fitness-PU-Leggings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6dc44b7ab8c84535af657f7572fed551x.jpg,https://ae04.alicdn.com/kf/H9fc6fe79825d484e9e88f8bce45aba478.jpg,https://ae04.alicdn.com/kf/H145ad20fbe3c4c2b907846afd27b8d7eV.jpg,https://ae04.alicdn.com/kf/Hb6acaefea2bb42b5ab9b14be5900fc9db.jpg,https://ae04.alicdn.com/kf/H88c73a3d5bc34bc4a6dbec4de3afb5863.jpg,",https://www.aliexpress.com/item/1005002298480279.html,37.80,18.90,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AFVWvi
Leggings,200000865,High Waist Seamless Leggings Push Up Leggins Sport Women Fitness Running Yoga Pants Energy Seamless Leggings Gym Girl leggins,1005002298402800,https://ae01.alicdn.com/kf/H231fc1ef7eb34ea1a3fed689bbe18c85b/High-Waist-Seamless-Leggings-Push-Up-Leggins-Sport-Women-Fitness-Running-Yoga-Pants-Energy-Seamless-Leggings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H231fc1ef7eb34ea1a3fed689bbe18c85b.jpg,https://ae04.alicdn.com/kf/H34e110d28af84318907a1f8a960d955eQ.jpg,https://ae04.alicdn.com/kf/Ha6fbd4e00162483cb4b1d893f966c25dg.jpg,https://ae04.alicdn.com/kf/H81057e00a5f24a718171980cb2c8bfb9m.jpg,https://ae04.alicdn.com/kf/H5481fa925a624a90b99aaa5674a8a141n.jpg,",https://www.aliexpress.com/item/1005002298402800.html,36.88,18.44,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AWZzk8
Leggings,200000865,2020 New Bumps Style Leggings Put Hip Fold Elastic High Waist Legging Breathable Slim Pants,1005002295085207,https://ae01.alicdn.com/kf/Hb68670838add47e5a06936317c3d297ee/2020-New-Bumps-Style-Leggings-Put-Hip-Fold-Elastic-High-Waist-Legging-Breathable-Slim-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb68670838add47e5a06936317c3d297ee.jpg,https://ae04.alicdn.com/kf/H96133f9dba0345af879b29e7884bf21bB.jpg,https://ae04.alicdn.com/kf/H89847370783446bdb3c6c7f1da990c75k.jpg,https://ae04.alicdn.com/kf/H41cd72d0cbbf41bc8c98b720aad58b9de.jpg,",https://www.aliexpress.com/item/1005002295085207.html,41.27,20.64,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9yAtn6
Leggings,200000865,Hot selling Style Leggings Put Hip Fold Elastic High Waist Legging Breathable Slim Pants,1005002294988499,https://ae01.alicdn.com/kf/H6f176f9182f3494190ab8cecda9e0dfdQ/Hot-selling-Style-Leggings-Put-Hip-Fold-Elastic-High-Waist-Legging-Breathable-Slim-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6f176f9182f3494190ab8cecda9e0dfdQ.jpg,https://ae04.alicdn.com/kf/H6cc7eaf7f0eb47d2afc12d2e681367e1z.jpg,https://ae04.alicdn.com/kf/H8757b6ea96bd408b95d97d872a7f4046F.jpg,https://ae04.alicdn.com/kf/Ha3ebb07e4b664a9c9fe9bb3d2766d865R.jpg,https://ae04.alicdn.com/kf/H1c93c85763254d378117eacf294a5c0ft.jpg,",https://www.aliexpress.com/item/1005002294988499.html,42.89,21.45,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A8dYH2
