Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Swimwears,200001918,2020 The New Women's Glitter Bandage Bikini Sexy Hard Pack Halter Swimsuit Brazil summer bikini swimsuit suit Thong swimsuit,1005002282175597,https://ae01.alicdn.com/kf/He8fa685fd5e44bbc98757aacbfb34caf3/2020-The-New-Women-s-Glitter-Bandage-Bikini-Sexy-Hard-Pack-Halter-Swimsuit-Brazil-summer-bikini.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He8fa685fd5e44bbc98757aacbfb34caf3.jpg,https://ae04.alicdn.com/kf/H24543d6a49b54e7ca07d8a37b86bedc8D.jpg,https://ae04.alicdn.com/kf/H320d9f789ee7402896152defaad3b524n.jpg,https://ae04.alicdn.com/kf/Hf533462b1b41453b8b9124b34f96553aS.jpg,https://ae04.alicdn.com/kf/Ha849f12e082349808d6199997af136a0s.jpg,",https://www.aliexpress.com/item/1005002282175597.html,28.00,11.20,9.00%,2098-12-31,60%,https://s.click.aliexpress.com/e/_9JehYU
Swimwears,200001918,New European and American Summer and Autumn Women's Denim Shorts Hot Pants Nightclub Women's Sexy Low-rise Jeans,1005002299093456,https://ae01.alicdn.com/kf/Hdc5c82915bf443b89ff39867a6f4b2567/New-European-and-American-Summer-and-Autumn-Women-s-Denim-Shorts-Hot-Pants-Nightclub-Women-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdc5c82915bf443b89ff39867a6f4b2567.jpg,https://ae04.alicdn.com/kf/H4721fa60ce414dceb382b6484f8921caF.jpg,https://ae04.alicdn.com/kf/Hf81de22065694fa1bac036897f035a82s.jpg,https://ae04.alicdn.com/kf/Hffc5f80ea3f94db2a52c04945d71b542P.jpg,https://ae04.alicdn.com/kf/H4daa431aee9e4b1ea56272008182867dJ.jpg,",https://www.aliexpress.com/item/1005002299093456.html,27.89,25.10,9.00%,2098-12-31,10%,https://s.click.aliexpress.com/e/_A1arVW
Swimwears,200001918,2021 New Print Sport Bandeau Push up Bikinis Sexy Marble Women Swimsuit High Waist Swimwear Women bathing suit Beach wear,1005002299476260,https://ae01.alicdn.com/kf/H1b2366ad5545491a9ed0588275a49699s/2021-New-Print-Sport-Bandeau-Push-up-Bikinis-Sexy-Marble-Women-Swimsuit-High-Waist-Swimwear-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1b2366ad5545491a9ed0588275a49699s.jpg,https://ae04.alicdn.com/kf/He7eab8d19bc04a09bc842751e5f947668.jpg,https://ae04.alicdn.com/kf/He5f242d8afc7490184234df4e9857afbv.jpg,https://ae04.alicdn.com/kf/H40c1151d68fd4be986d2fc3c28022e659.jpg,https://ae04.alicdn.com/kf/Hf3e13ebbb5bc42d2932b2abf92a4e78eF.jpg,",https://www.aliexpress.com/item/1005002299476260.html,31.79,15.90,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AKohas
Swimwears,200001918,Floral Ruffled Hem Bikini Set Women Flora V-Neck High-Waisted Two Piece Swimsuit 2021 Girl Beach Bathing Suit SwimwearBiquinis,1005002299594318,https://ae01.alicdn.com/kf/Hdfd47a8aa95d4ca5b4e6f258ce332877Q/Floral-Ruffled-Hem-Bikini-Set-Women-Flora-V-Neck-High-Waisted-Two-Piece-Swimsuit-2021-Girl.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdfd47a8aa95d4ca5b4e6f258ce332877Q.jpg,https://ae04.alicdn.com/kf/He99f7b386c124d12924d93b0468c83c4E.jpg,https://ae04.alicdn.com/kf/H6fc642f276df4384990294e26db7a937J.jpg,https://ae04.alicdn.com/kf/Hbe7465c53bc7480191d93e3c3c5b7578Y.jpg,https://ae04.alicdn.com/kf/H4cd12fffd5a746e8af952bd533e9820b0.jpg,",https://www.aliexpress.com/item/1005002299594318.html,29.35,14.68,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9zIsli
Swimwears,200001918,Women Solid bikini Summer Push Up Low waist Swimsuit Brazilian Sexy Beach Bikini Set Halter Retro Beach Bathing bikini 2021,1005002299423549,https://ae01.alicdn.com/kf/Hfb44ed94fc2f4d29be879ed298dc517a2/Women-Solid-bikini-Summer-Push-Up-Low-waist-Swimsuit-Brazilian-Sexy-Beach-Bikini-Set-Halter-Retro.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfb44ed94fc2f4d29be879ed298dc517a2.jpg,https://ae04.alicdn.com/kf/H4a163a52895042a1a5b1a8177c160d9bn.jpg,https://ae04.alicdn.com/kf/H73df96f1ea7a49558efafcac01ffdb15g.jpg,https://ae04.alicdn.com/kf/Hf7022e29b5e24f698f1e115a105d04bbj.jpg,https://ae04.alicdn.com/kf/Hcc0d105a49a84e939b3c311ddec79d8dK.jpg,",https://www.aliexpress.com/item/1005002299423549.html,68.77,34.39,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9g5ldq
Swimwears,200001918,Summer Sexy 3 Pieces Bikinis Set For Women Push Up Padded Biquini Brazilian Leopard Bathing Suit Thong Bikini 2021 Beachwear,1005002299402738,https://ae01.alicdn.com/kf/H3d87954f161945dea43b698c1c0b88e9U/Summer-Sexy-3-Pieces-Bikinis-Set-For-Women-Push-Up-Padded-Biquini-Brazilian-Leopard-Bathing-Suit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3d87954f161945dea43b698c1c0b88e9U.jpg,https://ae04.alicdn.com/kf/H3ede0cacddd541aaac54169071c7e650i.jpg,https://ae04.alicdn.com/kf/H0d98868f002a45a9bbd19355c6fb32cdi.jpg,https://ae04.alicdn.com/kf/Ha31700002ec7477e9fe99375b8ca2f30s.jpg,https://ae04.alicdn.com/kf/Hfcbe9d34bcdc4eafa6db319eb2f8725dr.jpg,",https://www.aliexpress.com/item/1005002299402738.html,18.99,10.44,15.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_AATSAc
Swimwears,200001918,Summer Fashion White Cotton Single-breasted Beach Maxi Dress Bikini Cover Up Vacation Swimsuit Sun Protection Dress Female,1005002299527891,https://ae01.alicdn.com/kf/Hc423d75d8fd04b1e80db1369e4ca14abA/Summer-Fashion-White-Cotton-Single-breasted-Beach-Maxi-Dress-Bikini-Cover-Up-Vacation-Swimsuit-Sun-Protection.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc423d75d8fd04b1e80db1369e4ca14abA.jpg,https://ae04.alicdn.com/kf/Hed4974e8b5274a0c938fa434a9bc4e56a.jpg,https://ae04.alicdn.com/kf/He287268199c2440db4ddb30e25635747i.jpg,https://ae04.alicdn.com/kf/H2446050abeab4b55a3bd202e73faeb5cU.jpg,https://ae04.alicdn.com/kf/H73fbe2bed5cb44c59826476d54b9053dl.jpg,",https://www.aliexpress.com/item/1005002299527891.html,29.03,14.52,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AdxR48
Swimwears,200001918,White Black Mid-length Dress Women's Quick-drying Fabric Lace Holiday Beach Dress Bikini Coverup Swimwear,1005002298270117,https://ae01.alicdn.com/kf/Hf653dd15ad6c4aee8198885ae7baf2b7t/White-Black-Mid-length-Dress-Women-s-Quick-drying-Fabric-Lace-Holiday-Beach-Dress-Bikini-Coverup.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf653dd15ad6c4aee8198885ae7baf2b7t.jpg,https://ae04.alicdn.com/kf/Ha6f23b9deae641b189c11b34da852843E.jpg,https://ae04.alicdn.com/kf/H58c536a933d041a5a9e9a78fcb3188caJ.jpg,https://ae04.alicdn.com/kf/H9d83d2ab54384f57bc298e1c7f5fdecfY.jpg,https://ae04.alicdn.com/kf/H62f2649edf4c47ff98dbf3c9003a227be.jpg,",https://www.aliexpress.com/item/1005002298270117.html,25.80,12.90,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_Ak9VJw
Swimwears,200001918,Summer White Elegant Lace Large Size Cotton Elastic Waist Beach Sun Protection Bikini Jacket Bathing Suit Cover Ups Female,1005002298262585,https://ae01.alicdn.com/kf/Hcf2887f8064b46e4be6724c0ec1963056/Summer-White-Elegant-Lace-Large-Size-Cotton-Elastic-Waist-Beach-Sun-Protection-Bikini-Jacket-Bathing-Suit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcf2887f8064b46e4be6724c0ec1963056.jpg,https://ae04.alicdn.com/kf/H43a1ea6b52a445dbaa8d0aed6457848bm.jpg,https://ae04.alicdn.com/kf/H3f6d4d26fc7447248207872c2289f361o.jpg,https://ae04.alicdn.com/kf/H29768a1a8cdd4854a32daa48a634559ax.jpg,https://ae04.alicdn.com/kf/Hb41b607fb40a479981855ba9cc6414c3s.jpg,",https://www.aliexpress.com/item/1005002298262585.html,26.98,13.49,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A3PkNE
Swimwears,200001918,2021 Bikinis Leopard Print Wrapped Chest Swimsuits Swimwear Women Push Up Biquini Beachwear Bathing Suit Women Thong Bikini Set,1005002296487099,https://ae01.alicdn.com/kf/H8ecb753829e64800b416a2b4fb022416W/2021-Bikinis-Leopard-Print-Wrapped-Chest-Swimsuits-Swimwear-Women-Push-Up-Biquini-Beachwear-Bathing-Suit-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8ecb753829e64800b416a2b4fb022416W.jpg,https://ae04.alicdn.com/kf/H9159991707af41e79a03df5d8098e3b8J.jpg,https://ae04.alicdn.com/kf/Hc4836038978e4b4abf94637c703da51e7.jpg,https://ae04.alicdn.com/kf/Hfe261ea688294f9694fb118e5451464bi.jpg,https://ae04.alicdn.com/kf/H25f90be5a22e490fa72363b99b24a598K.jpg,",https://www.aliexpress.com/item/1005002296487099.html,16.50,10.23,30.00%,2098-12-31,38%,https://s.click.aliexpress.com/e/_AXhyEG
Swimwears,200001918,2019 Sexy Bikini Set high Waist Swimwear Women Sexy Bikini Set Push-Up Padded Swimwear Swimsuit Bathing Bow Beachwear #50,33056542298,https://ae01.alicdn.com/kf/HTB1tQXjXbr1gK0jSZFDq6z9yVXaw/2019-Sexy-Bikini-Set-high-Waist-Swimwear-Women-Sexy-Bikini-Set-Push-Up-Padded-Swimwear-Swimsuit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1tQXjXbr1gK0jSZFDq6z9yVXaw.jpg,https://ae04.alicdn.com/kf/HTB1qXNkXkH0gK0jSZPiq6yvapXao.jpg,https://ae04.alicdn.com/kf/HTB1gQXjXbr1gK0jSZR0q6zP8XXax.jpg,https://ae04.alicdn.com/kf/HTB1q4FiXeT2gK0jSZFvq6xnFXXa4.jpg,https://ae04.alicdn.com/kf/HTB1EFFkXlr0gK0jSZFnq6zRRXXa0.jpg,",https://www.aliexpress.com/item/33056542298.html,9.00,5.22,9.00%,2098-12-31,42%,https://s.click.aliexpress.com/e/_A1QNDO
